Name,Male,Female,Incidence,Frequency
Jón,100,0,8596,1:43
Anna,1,99,7738,1:47
Guðrún,0,100,5570,1:66
Sigurður,100,0,5286,1:69
Guðmundur,100,0,5038,1:73
Gunnar,100,0,4082,1:90
Sigríður,0,100,4035,1:91
Kristín,0,100,3848,1:95
Einar,100,0,3441,1:106
Ólafur,100,0,3429,1:107
Helga,1,99,3401,1:108
Jóhann,100,0,2718,1:135
Kristján,100,0,2676,1:137
Sigrún,0,100,2606,1:140
Margrét,1,99,2591,1:141
Stefán,100,0,2481,1:148
Magnús,100,0,2434,1:150
Jóhanna,0,100,2285,1:160
Inga,0,100,2049,1:179
María,0,100,1965,1:186
Elín,0,100,1962,1:187
Ingibjörg,0,100,1953,1:187
Björn,100,0,1905,1:192
Árni,100,0,1832,1:200
Helgi,100,0,1782,1:205
Pétur,100,0,1727,1:212
Halldór,100,0,1718,1:213
Eva,1,99,1715,1:213
Ásta,1,99,1664,1:220
Arnar,100,0,1648,1:222
Bjarni,100,0,1632,1:224
Kristinn,100,0,1629,1:225
Ragnar,100,0,1509,1:243
Gísli,100,0,1477,1:248
Jóna,0,100,1468,1:249
Erla,0,100,1464,1:250
Linda,2,98,1455,1:252
Hildur,0,100,1401,1:261
Lilja,0,100,1398,1:262
Guðný,0,100,1387,1:264
Ólöf,0,100,1387,1:264
Sveinn,100,0,1366,1:268
Katrín,0,100,1360,1:269
Steinunn,0,100,1274,1:287
Hulda,1,99,1267,1:289
Karl,100,0,1240,1:295
Guðjón,100,0,1217,1:301
Páll,100,0,1194,1:307
Guðbjörg,0,100,1181,1:310
Hanna,1,99,1144,1:320
Íris,0,100,1141,1:321
Davíð,100,0,1129,1:324
Unnur,0,100,1119,1:327
Birgir,100,0,1106,1:331
Þorsteinn,100,0,1085,1:337
Andri,100,0,1083,1:338
Þóra,0,100,1057,1:346
Berglind,1,99,1053,1:348
Ragnheiður,1,99,1052,1:348
Atli,100,0,1038,1:353
Auður,0,100,1032,1:355
Edda,0,100,1026,1:357
Þórunn,0,100,1022,1:358
Birna,0,100,1008,1:363
Daníel,100,0,1008,1:363
Kolbrún,1,99,1007,1:363
Elísabet,1,99,1006,1:364
Jóhannes,100,0,986,1:371
Kjartan,100,0,958,1:382
Erna,0,100,936,1:391
Óskar,100,0,928,1:394
Sandra,1,99,926,1:395
Sólveig,0,100,896,1:409
Haukur,100,0,890,1:411
Sara,0,100,889,1:412
Friðrik,100,0,872,1:420
Ágúst,100,0,871,1:420
Halldóra,0,100,855,1:428
Ingi,100,0,850,1:431
Jónína,0,100,847,1:432
Karen,1,99,844,1:434
Ásdís,0,100,837,1:437
Maria,0,100,830,1:441
Haraldur,100,0,825,1:444
Harpa,0,100,808,1:453
Jónas,100,0,806,1:454
Tómas,100,0,791,1:463
Aron,100,0,772,1:474
Ásgeir,100,0,771,1:475
Bryndís,0,100,766,1:478
Rúnar,100,0,753,1:486
Lára,1,99,751,1:487
Rakel,0,100,729,1:502
Arna,0,100,728,1:503
Brynjar,100,0,703,1:521
Eiríkur,100,0,696,1:526
Halla,0,100,689,1:531
Baldur,100,0,686,1:534
Kristjana,1,99,681,1:537
Rósa,0,100,680,1:538
Guðlaug,0,100,679,1:539
Guðni,100,0,670,1:546
Hafdís,4,96,660,1:555
Egill,100,0,656,1:558
Þórður,100,0,650,1:563
Sigurjón,100,0,647,1:566
Bjarki,100,0,646,1:567
Elsa,1,99,643,1:569
Þórdís,0,100,642,1:570
Benedikt,100,0,641,1:571
Sindri,100,0,639,1:573
Ingunn,0,100,635,1:576
Hörður,100,0,626,1:585
Sverrir,100,0,615,1:595
Hrafnhildur,1,99,609,1:601
Sunna,0,100,609,1:601
Jon,0,0,605,1:605
Helena,0,100,599,1:611
Róbert,100,0,596,1:614
Ómar,100,0,596,1:614
Stefanía,3,97,595,1:615
Björgvin,100,0,586,1:625
Hilmar,100,0,586,1:625
Hrefna,1,99,584,1:627
Tinna,1,99,580,1:631
Ása,0,100,575,1:637
Hjördís,1,99,573,1:639
Sævar,100,0,568,1:644
Jakob,100,0,564,1:649
Ragnhildur,1,99,561,1:652
Ingólfur,100,0,559,1:655
Ingvar,100,0,555,1:659
Snorri,100,0,551,1:664
Sigurbjörg,0,100,548,1:668
Steinar,100,0,548,1:668
Dagný,1,99,540,1:678
Ari,100,0,539,1:679
Grétar,100,0,538,1:680
Brynja,1,99,532,1:688
Dóra,1,99,517,1:708
