Name,Male,Female,Incidence,Frequency
Mohamed,0,0,504475,1:41
Kasun,0,0,140283,1:148
Indika,0,0,129195,1:161
Gayan,0,0,125332,1:166
Nuwan,0,0,120610,1:172
Amila,0,0,116676,1:178
Chaminda,0,0,109093,1:191
Janaka,0,0,105373,1:197
Roshan,0,0,103012,1:202
Ruwan,0,0,101296,1:205
Sampath,0,0,101224,1:205
Dinesh,0,0,88491,1:235
Asanka,0,0,88276,1:236
Sameera,0,0,86559,1:240
Saman,0,0,84485,1:246
Pradeep,0,0,83054,1:250
Ajith,0,0,79692,1:261
Tharindu,0,0,79405,1:262
Sanjeewa,0,0,79262,1:262
Chandana,0,0,78619,1:265
Mahesh,0,0,77474,1:268
Lahiru,0,0,75328,1:276
Aruna,0,0,73826,1:282
Manjula,0,0,73754,1:282
Buddhika,0,0,71107,1:293
Isuru,0,0,70320,1:296
Sarath,0,0,70320,1:296
Fathima,0,0,69104,1:301
Prasanna,0,0,69033,1:301
Rasika,0,0,68246,1:305
Mohammed,0,0,66958,1:311
Priyantha,0,0,66815,1:311
Fernando,0,0,66600,1:312
Nishantha,0,0,65742,1:316
Harsha,0,0,65456,1:318
Nalin,0,0,64740,1:321
Thilina,0,0,63095,1:330
Upul,0,0,61664,1:337
Thushara,0,0,60806,1:342
Gamini,0,0,60305,1:345
Manoj,0,0,59948,1:347
Anura,0,0,58731,1:354
Dhanushka,0,0,58731,1:354
Thilini,0,0,58731,1:354
Chamara,0,0,58660,1:355
Ranjith,0,0,57945,1:359
Chanaka,0,0,56514,1:368
Abdul,0,0,56299,1:369
Samantha,0,0,56156,1:370
Chinthaka,0,0,56013,1:371
Rohan,0,0,55512,1:375
Sanjaya,0,0,54511,1:382
Lalith,0,0,54082,1:385
Chathura,0,0,53867,1:386
Wasantha,0,0,53581,1:388
Jagath,0,0,52937,1:393
Sunil,0,0,52222,1:398
Suranga,0,0,52007,1:400
Gihan,0,0,51935,1:400
Tharanga,0,0,50219,1:414
Prasad,0,0,49646,1:419
Chamila,0,0,49360,1:421
Suresh,0,0,48716,1:427
Jayantha,0,0,47572,1:437
Nimal,0,0,47429,1:439
Anuradha,0,0,46713,1:445
Ravi,0,0,45211,1:460
Hasitha,0,0,44639,1:466
Lasantha,0,0,44281,1:470
Supun,0,0,43852,1:474
Chandima,0,0,43709,1:476
Charith,0,0,43637,1:477
Kamal,0,0,43136,1:482
Kanchana,0,0,43136,1:482
Thusitha,0,0,42636,1:488
Prabath,0,0,42350,1:491
Duminda,0,0,42135,1:494
Nalaka,0,0,41205,1:505
Tharaka,0,0,40561,1:513
Dhammika,0,0,40060,1:519
Damith,0,0,39917,1:521
Ananda,0,0,39703,1:524
Kapila,0,0,39631,1:525
Shehan,0,0,39345,1:529
Dinusha,0,0,38701,1:537
Gayani,0,0,38701,1:537
Rajitha,0,0,38701,1:537
Darshana,0,0,38057,1:547
Udaya,0,0,38057,1:547
Nadeesha,0,0,37914,1:549
Asela,0,0,37843,1:550
Sajith,0,0,36698,1:567
Anusha,0,0,36412,1:571
Ranga,0,0,36269,1:573
Udara,0,0,35625,1:584
Upali,0,0,35267,1:590
Sumith,0,0,34695,1:599
Pubudu,0,0,34481,1:603
Eranga,0,0,34266,1:607
Nihal,0,0,34123,1:610
Mahinda,0,0,34051,1:611
Ishara,0,0,33408,1:623
Susantha,0,0,33408,1:623
Shantha,0,0,33121,1:628
Sanath,0,0,32907,1:632
Sumudu,0,0,31834,1:653
Sandun,0,0,31619,1:658
Sujeewa,0,0,31619,1:658
Kanishka,0,0,31118,1:668
Danushka,0,0,31047,1:670
Amal,0,0,30260,1:687
Lakmal,0,0,30260,1:687
Thanuja,0,0,30117,1:691
Ashan,0,0,29974,1:694
Chathurika,0,0,29831,1:697
Viraj,0,0,29688,1:701
Nadeeka,0,0,29545,1:704
Dimuthu,0,0,29330,1:709
Kosala,0,0,29330,1:709
Ravindra,0,0,29258,1:711
Athula,0,0,29044,1:716
Niroshan,0,0,29044,1:716
Asoka,0,0,28758,1:723
Shanika,0,0,28758,1:723
Anushka,0,0,28615,1:727
Palitha,0,0,28543,1:729
Shanaka,0,0,28328,1:734
Hemantha,0,0,28114,1:740
Akila,0,0,27971,1:744
Chathuranga,0,0,27899,1:746
Shashika,0,0,27899,1:746
Bandula,0,0,27828,1:747
Uditha,0,0,27685,1:751
Jude,0,0,27327,1:761
Sisira,0,0,27327,1:761
Namal,0,0,27112,1:767
Iresha,0,0,26969,1:771
Waruna,0,0,25896,1:803
Ishan,0,0,25682,1:810
Lakshman,0,0,25682,1:810
Kushan,0,0,25539,1:814
Sudath,0,0,25395,1:819
Sujith,0,0,25038,1:831
Nilantha,0,0,24823,1:838
Rukshan,0,0,24823,1:838
Harshani,0,0,24752,1:840
Nishan,0,0,24465,1:850
Nirosha,0,0,24251,1:858
Gayathri,0,0,24108,1:863
Hiran,0,0,23965,1:868
Dilan,0,0,23607,1:881
Sahan,0,0,23535,1:884
Anil,0,0,23392,1:889
Inoka,0,0,23321,1:892
Thilak,0,0,23321,1:892
Ramesh,0,0,23106,1:900
Yohan,0,0,23035,1:903
Charitha,0,0,22677,1:917
Rohana,0,0,22677,1:917
Kumudu,0,0,22606,1:920
Mohan,0,0,22606,1:920
Ranil,0,0,22534,1:923
Dilshan,0,0,22462,1:926
Shan,0,0,22391,1:929
Vajira,0,0,22176,1:938
Anton,0,0,22105,1:941
Muditha,0,0,21819,1:953
Buddika,0,0,21747,1:956
Malinda,0,0,21604,1:963
