Name,Male,Female,Incidence,Frequency
Sengphet,0,0,195923,1:34
Phayvanh,0,0,191419,1:34
Khamla,0,0,137371,1:48
Somphone,0,0,117103,1:56
Noy,0,0,114851,1:57
Phet,0,0,87827,1:75
Bounmy,0,0,85575,1:77
Anousone,0,0,69812,1:94
Phetsamone,0,0,69812,1:94
Bounthavy,0,0,67560,1:97
Kham,0,0,67560,1:97
Khamphanh,0,0,65308,1:101
Phouvong,0,0,65308,1:101
Keo,0,0,63056,1:104
Seng,0,0,60804,1:108
Joy,0,0,56300,1:117
Phonesavanh,0,0,56300,1:117
Thao,0,0,54048,1:122
Vilayphone,0,0,54048,1:122
Souk,0,0,49544,1:133
Vanh,0,0,49544,1:133
Lee,0,0,47292,1:139
Ai,0,0,45040,1:146
