Name,Male,Female,Incidence,Frequency
Jan,98,2,236473,1:71
Peter,100,0,204420,1:83
Hans,100,0,161386,1:105
Rob,100,0,123868,1:136
Henk,100,0,111950,1:151
Paul,100,0,108923,1:155
Jeroen,100,0,99177,1:170
Monique,0,100,99029,1:171
Frank,100,0,90764,1:186
Marcel,100,0,86312,1:196
John,100,0,86214,1:196
Karin,0,100,82895,1:204
Erik,100,0,80055,1:211
Wim,100,0,79492,1:213
Sandra,0,100,78211,1:216
Mark,100,0,75482,1:224
Esther,0,100,75267,1:225
Linda,0,100,74945,1:226
Robert,100,0,74109,1:228
Jos,80,20,72685,1:233
Johan,100,0,69258,1:244
Bart,100,0,68897,1:245
Petra,0,100,68474,1:247
Ronald,100,0,68358,1:247
Richard,100,0,67285,1:251
Rene,100,0,67002,1:252
Yvonne,0,100,66855,1:253
Martin,100,0,66171,1:255
Ellen,0,100,65163,1:259
Anne,0,100,65025,1:260
Ingrid,0,100,63221,1:267
Bert,100,0,61588,1:274
Martijn,100,0,61157,1:276
Patrick,100,0,60498,1:279
Marco,100,0,60312,1:280
Marieke,0,100,59211,1:285
Kim,0,100,57604,1:293
Bas,84,16,57384,1:295
Kees,100,0,56195,1:301
Frans,100,0,55918,1:302
Michael,100,0,55808,1:303
Gerard,100,0,54422,1:311
Jolanda,0,100,53913,1:314
Willem,100,0,53703,1:315
Dennis,100,0,53147,1:318
Marc,100,0,52225,1:324
Pieter,100,0,51806,1:326
Saskia,0,100,51771,1:326
Marianne,0,100,51308,1:329
Theo,100,0,51202,1:330
Jacqueline,0,100,51179,1:330
Eric,100,0,51152,1:330
Judith,0,100,50119,1:337
Ron,100,0,49804,1:339
Ruud,100,0,49548,1:341
Ton,100,0,49054,1:345
Maarten,100,0,48915,1:346
Sander,100,0,47975,1:352
Inge,0,100,47594,1:355
Nicole,0,100,46940,1:360
Anita,0,100,45816,1:369
Laura,0,100,45766,1:369
Edwin,100,0,45716,1:370
Tom,100,0,45210,1:374
Michel,100,0,45154,1:374
Robin,10,90,44983,1:376
Wendy,0,100,41989,1:403
Astrid,0,100,41612,1:406
Marjolein,0,100,41391,1:408
Mirjam,0,100,41337,1:409
Harry,100,0,41305,1:409
Jaap,100,0,40378,1:419
Joost,100,0,40063,1:422
Andre,100,0,39957,1:423
Anja,0,100,39629,1:427
Patricia,0,100,38671,1:437
Sanne,0,100,38403,1:440
Ben,100,0,38035,1:444
David,100,0,37848,1:447
Marijke,0,100,37331,1:453
Suzanne,0,100,37004,1:457
Tim,100,0,36922,1:458
Chris,100,0,36904,1:458
Anneke,0,100,36717,1:460
Chantal,0,100,36614,1:462
Fred,100,0,35647,1:474
Piet,100,0,35552,1:475
Els,0,100,34988,1:483
Joke,0,100,34958,1:483
Bianca,0,100,34811,1:486
Wouter,100,0,34796,1:486
Simone,0,100,34582,1:489
Arjan,100,0,34495,1:490
Miranda,0,100,34140,1:495
Wilma,0,100,33901,1:499
Joyce,0,100,33894,1:499
Niels,100,0,33654,1:502
Carla,0,100,33385,1:506
Leao,100,0,32972,1:513
Annemarie,0,100,32952,1:513
Caroline,0,100,32939,1:513
Erwin,100,0,32901,1:514
Vincent,100,0,32599,1:518
Maaike,0,100,32540,1:519
Michiel,100,0,32443,1:521
Stefan,100,0,32041,1:528
Ineke,0,100,31963,1:529
Maria,0,100,31856,1:531
Herman,100,0,31469,1:537
Hanneke,0,100,30754,1:550
Rick,100,0,30602,1:552
Mieke,0,100,30473,1:555
Ria,0,100,30214,1:559
Marleen,0,100,29983,1:564
Ilse,0,100,29511,1:573
Nico,100,0,29497,1:573
Claudia,0,100,29484,1:573
Sylvia,0,100,29267,1:578
Iris,0,100,29251,1:578
Irene,0,100,29168,1:579
Marion,6,94,28886,1:585
Diana,0,100,28780,1:587
Janneke,0,100,28488,1:593
Dirk,100,0,28273,1:598
Liesbeth,0,100,28178,1:600
Eva,0,100,28031,1:603
Cees,100,0,27896,1:606
Gerrit,100,0,27896,1:606
Albert,100,0,27841,1:607
Roel,100,0,27472,1:615
Alex,100,0,27439,1:616
Roy,100,0,27403,1:617
Marian,0,100,27264,1:620
Dick,100,0,26837,1:630
Marloes,0,100,26638,1:635
Martine,0,100,26556,1:636
Barbara,0,100,26464,1:639
Thomas,100,0,26448,1:639
Angelique,0,100,26305,1:643
Remco,100,0,26169,1:646
Anna,0,100,25847,1:654
Tineke,0,100,25587,1:661
Gert,100,0,25555,1:661
Marjan,0,100,25539,1:662
Manon,0,100,25507,1:663
Mariska,0,100,25411,1:665
Anouk,0,100,25293,1:668
Marja,0,100,25229,1:670
Ad,93,7,25079,1:674
Danny,100,0,24828,1:681
Jessica,0,100,24792,1:682
Annelies,0,100,24782,1:682
Cor,88,12,24567,1:688
Raymond,100,0,24300,1:696
Nathalie,0,100,24252,1:697
Maurice,100,0,24060,1:702
Geert,100,0,23903,1:707
Femke,0,100,23895,1:707
Ed,100,0,23728,1:712
Leon,100,0,23722,1:713
Angela,0,100,23684,1:714
Loes,0,100,22886,1:739
Bob,100,0,22718,1:744
Joop,100,0,22681,1:745
Henny,2,98,22615,1:747
Jasper,100,0,22426,1:754
Bram,100,0,22406,1:754
Charlotte,0,100,22351,1:756
Rianne,0,100,22117,1:764
Nick,100,0,21959,1:770
Cindy,0,100,21782,1:776
Klaas,100,0,21643,1:781
Steven,100,0,21467,1:787
Sabine,0,100,21436,1:788
Marlies,0,100,21294,1:794
Lisa,0,100,21127,1:800
Leonie,0,100,21125,1:800
Koen,100,0,21097,1:801
Annemieke,0,100,20951,1:807
Gerda,0,100,20902,1:809
Lisette,0,100,20900,1:809
Tessa,0,100,20879,1:810
Sonja,0,100,20836,1:811
Thijs,100,0,20591,1:821
Nienke,0,100,20171,1:838
Jack,100,0,20158,1:838
Susan,0,100,19983,1:846
Annette,0,100,19875,1:850
Tamara,0,100,19704,1:858
Evelien,0,100,19140,1:883
Jose,82,18,19075,1:886
Arie,100,0,18937,1:893
Marije,0,100,18916,1:894
Stephanie,0,100,18865,1:896
Heleen,0,100,18768,1:901
Daan,99,1,18743,1:902
Anke,0,100,18358,1:921
Jo,4,96,17832,1:948
Kevin,100,0,17830,1:948
Eline,0,100,17827,1:948
Arno,100,0,17740,1:953
Danielle,74,26,17726,1:954
Vera,0,100,17599,1:960
Miriam,0,100,17547,1:963
Daniel,100,0,17516,1:965
Alexander,100,0,17507,1:965
Renate,0,100,17477,1:967
Annemiek,0,100,17399,1:971
Nancy,0,100,17394,1:972
Pascal,100,0,17348,1:974
Karen,0,100,17322,1:976
Michelle,40,60,17290,1:978
Sjoerd,100,0,17207,1:982
Denise,0,100,17197,1:983
Ger,57,43,17154,1:985
Lotte,0,100,16922,1:999
Margriet,0,100,16894,1:1000
Irma,0,100,16865,1:1002
Ans,0,100,16705,1:1012
Paula,0,100,16619,1:1017
Ilona,0,100,16536,1:1022
Kirsten,0,100,16525,1:1023
Margreet,0,100,16456,1:1027
Pim,100,0,16429,1:1029
Daphne,0,100,16387,1:1031
Mandy,0,100,16374,1:1032
Jeffrey,100,0,16305,1:1037
Maartje,0,100,16280,1:1038
Pauline,0,100,16179,1:1045
Hennie,3,97,16097,1:1050
Anton,100,0,16079,1:1051
Frits,100,0,16014,1:1055
Susanne,0,100,16008,1:1056
Thea,0,100,15975,1:1058
Brigitte,0,100,15958,1:1059
Simon,100,0,15765,1:1072
Eveline,0,100,15760,1:1072
Han,95,5,15730,1:1075
Natasja,0,100,15702,1:1076
Marielle,0,100,15694,1:1077
Arjen,100,0,15585,1:1085
Rik,100,0,15402,1:1097
Tanja,0,100,15375,1:1099
Annet,0,100,15297,1:1105
Menno,100,0,15289,1:1106
Ruben,100,0,15276,1:1106
Joris,100,0,15150,1:1116
Guido,100,0,14948,1:1131
Renee,0,100,14930,1:1132
Andrea,0,100,14894,1:1135
Stephan,100,0,14892,1:1135
Carolien,0,100,14694,1:1150
Jeannette,0,100,14680,1:1151
Wil,92,8,14677,1:1152
Jelle,100,0,14609,1:1157
Melanie,0,100,14510,1:1165
Lieke,0,100,14429,1:1171
Roland,100,0,14423,1:1172
Brenda,0,100,14396,1:1174
Arnold,100,0,14388,1:1175
Sophie,0,100,14371,1:1176
Arthur,100,0,14253,1:1186
Agnes,0,100,14235,1:1187
Sharon,0,100,14214,1:1189
Marga,0,100,14104,1:1198
Matthijs,100,0,13970,1:1210
Gijs,100,0,13763,1:1228
Jenny,0,100,13487,1:1253
Harm,100,0,13222,1:1278
Jennifer,0,100,13207,1:1280
Kelly,7,93,13051,1:1295
Sarah,0,100,12901,1:1310
Ivo,100,0,12813,1:1319
Marjon,0,100,12738,1:1327
Janine,0,100,12695,1:1331
Huub,100,0,12601,1:1341
Yvette,0,100,12562,1:1345
Walter,100,0,12502,1:1352
Evert,100,0,12459,1:1357
Elly,84,16,12432,1:1360
Ren,95,5,12367,1:1367
Edith,0,100,12361,1:1367
William,100,0,12349,1:1369
Margot,0,100,12303,1:1374
Lianne,0,100,12287,1:1376
Rita,0,100,12285,1:1376
Ina,0,100,12279,1:1377
Niek,100,0,12205,1:1385
Karel,100,0,12199,1:1386
Merel,17,83,12090,1:1398
Desiree,0,100,12038,1:1404
Stef,12,88,11966,1:1413
Joep,83,17,11944,1:1415
Cynthia,0,100,11905,1:1420
Hilde,0,100,11880,1:1423
Lilian,0,100,11860,1:1425
Louis,100,0,11843,1:1427
Lia,0,100,11780,1:1435
Christel,0,100,11734,1:1440
Henri,100,0,11732,1:1441
Robbert,100,0,11698,1:1445
Melissa,0,100,11671,1:1448
Max,100,0,11665,1:1449
Guus,100,0,11642,1:1452
Kitty,0,100,11512,1:1468
Hugo,100,0,11500,1:1470
Christine,0,100,11498,1:1470
Janny,0,100,11482,1:1472
Elise,0,100,11479,1:1472
Erna,0,100,11455,1:1476
Sebastiaan,100,0,11441,1:1477
Nina,0,100,11439,1:1478
Lars,100,0,11430,1:1479
Ralph,100,0,11418,1:1480
Marina,0,100,11388,1:1484
Harold,100,0,11378,1:1486
Fleur,0,100,11346,1:1490
Koos,100,0,11305,1:1495
Roger,100,0,11235,1:1504
Laurens,100,0,11175,1:1512
Luc,100,0,11109,1:1521
Lisanne,0,100,11097,1:1523
Jacques,100,0,11083,1:1525
Rogier,100,0,11042,1:1531
Julia,0,100,10943,1:1545
Conny,0,100,10910,1:1549
Eddy,100,0,10869,1:1555
Gerben,100,0,10772,1:1569
Marjo,0,100,10663,1:1585
Dorien,0,100,10648,1:1587
Jacob,100,0,10599,1:1595
Coen,100,0,10573,1:1599
Silvia,0,100,10548,1:1602
Jurgen,100,0,10527,1:1606
Anne-Marie,0,100,10485,1:1612
Debbie,0,100,10480,1:1613
Alexandra,0,100,10474,1:1614
Suzan,0,100,10436,1:1620
Harrie,100,0,10348,1:1633
Aad,86,14,10331,1:1636
Alice,0,100,10293,1:1642
Hetty,0,100,10286,1:1643
Lydia,0,100,10234,1:1652
Gert-Jan,95,5,10222,1:1654
Sjaak,100,0,10204,1:1656
Natascha,0,100,10201,1:1657
Debby,0,100,10194,1:1658
Trudy,0,100,10178,1:1661
Corine,0,100,10154,1:1665
Willy,90,10,10134,1:1668
George,100,0,10128,1:1669
Olga,0,100,10107,1:1672
Rutger,100,0,10102,1:1673
Carola,0,100,10086,1:1676
Christian,100,0,10024,1:1686
Mario,100,0,9893,1:1708
Sven,100,0,9886,1:1710
Monica,0,100,9832,1:1719
Erica,0,100,9829,1:1720
Renske,0,100,9823,1:1721
Hester,0,100,9774,1:1729
Carmen,0,100,9761,1:1732
Hendrik,100,0,9754,1:1733
Samantha,0,100,9603,1:1760
Jannie,0,100,9589,1:1763
Luuk,100,0,9579,1:1764
Freek,100,0,9488,1:1781
Henriette,0,100,9480,1:1783
Joey,24,76,9480,1:1783
Christa,0,100,9432,1:1792
Ingeborg,0,100,9415,1:1795
Nynke,0,100,9383,1:1801
Lex,100,0,9358,1:1806
Helen,0,100,9319,1:1814
Christiaan,100,0,9318,1:1814
Ramon,100,0,9292,1:1819
Henry,100,0,9288,1:1820
Van,40,60,9288,1:1820
Mireille,0,100,9241,1:1829
Louise,0,100,9236,1:1830
Ali,37,63,9227,1:1832
Marjolijn,0,100,9223,1:1833
Mary,0,100,9209,1:1835
Annie,0,100,9208,1:1836
Edward,100,0,9171,1:1843
Victor,100,0,9160,1:1845
Mohamed,18,82,9133,1:1851
Gea,0,100,9098,1:1858
Wilco,100,0,9087,1:1860
Maud,0,100,8951,1:1888
Emma,0,100,8930,1:1893
Janet,0,100,8922,1:1894
Heidi,0,100,8912,1:1897
Gerrie,14,86,8898,1:1900
Jacco,100,0,8843,1:1911
Naomi,0,100,8824,1:1915
Floris,100,0,8822,1:1916
Stefanie,0,100,8790,1:1923
Hein,100,0,8770,1:1927
Rolf,100,0,8764,1:1929
Nadine,0,100,8748,1:1932
Rachel,0,100,8711,1:1940
Paulien,0,100,8700,1:1943
Willemijn,0,100,8599,1:1966
Helma,0,100,8517,1:1985
Lonneke,0,100,8496,1:1989
Leen,11,89,8477,1:1994
Nelleke,0,100,8378,1:2017
Rien,100,0,8339,1:2027
Charles,100,0,8298,1:2037
Andrew,100,0,8272,1:2043
Jeanette,0,100,8261,1:2046
Marit,0,100,8251,1:2048
Ferry,100,0,8212,1:2058
Floor,85,15,8202,1:2061
Carin,0,100,8179,1:2067
Toon,100,0,8142,1:2076
Katja,0,100,8093,1:2088
Sabrina,0,100,8078,1:2092
Barry,100,0,8069,1:2095
Bea,0,100,8031,1:2105
Ine,10,90,8031,1:2105
Betty,0,100,8006,1:2111
Roelof,100,0,8003,1:2112
