Name,Male,Female,Incidence,Frequency
James,99,1,64956,1:68
Emmanuel,99,1,64796,1:68
Mary,1,99,61857,1:71
John,99,1,56465,1:78
Joseph,99,1,54913,1:80
Esther,1,99,50206,1:88
Hawa,1,99,46863,1:94
Annie,1,99,45303,1:97
Moses,99,1,44177,1:100
Martha,1,99,42328,1:104
Mamie,1,99,37683,1:117
Prince,99,1,36521,1:121
Junior,99,1,36450,1:121
Abraham,100,0,36414,1:121
Oretha,1,99,35730,1:123
Sarah,1,99,34134,1:129
Samuel,99,1,32608,1:135
Peter,99,1,32359,1:136
Rebecca,1,99,31684,1:139
David,99,1,31157,1:142
Morris,99,1,30984,1:142
Cecelia,1,99,28805,1:153
George,99,1,28639,1:154
Fatu,1,99,26495,1:167
Victoria,1,99,26127,1:169
Bendu,1,99,25811,1:171
Patience,1,99,23942,1:184
Daniel,99,1,23909,1:185
Musu,1,99,23576,1:187
Beatrice,1,99,21733,1:203
Ruth,1,99,21677,1:204
Marie,1,99,21135,1:209
Mohammed,99,1,20145,1:219
Alice,1,99,19949,1:221
Amos,99,1,19942,1:221
Theresa,1,99,19829,1:223
Elizabeth,1,99,19689,1:224
Helena,1,99,18524,1:238
Anthony,99,1,18368,1:240
William,99,1,18090,1:244
Comfort,1,99,17893,1:247
Thomas,99,1,17692,1:249
Princess,1,99,17313,1:255
Kou,1,99,17284,1:255
Jerry,100,0,17206,1:256
Isaac,99,1,16919,1:261
Betty,1,99,16369,1:270
Massa,3,97,15963,1:276
Nancy,1,99,15833,1:279
Sam,99,1,15670,1:282
Josephine,1,99,15447,1:286
Augustine,100,0,14877,1:297
Eric,99,1,14639,1:301
Francis,95,5,14591,1:302
Alex,100,0,14412,1:306
Stephen,99,1,14405,1:306
Alfred,99,1,14310,1:308
Felecia,1,99,13922,1:317
Robert,99,1,13903,1:317
Henry,99,1,13865,1:318
Miatta,1,99,13625,1:324
Varney,99,1,13556,1:325
Korpo,1,99,13555,1:325
Mercy,1,99,13392,1:329
Lorpu,1,99,13221,1:334
Patrick,99,1,13012,1:339
Momo,99,1,12649,1:349
Lucy,1,99,12561,1:351
Grace,1,99,12462,1:354
Saah,99,1,12445,1:355
Joe,99,1,12236,1:361
Patricia,1,99,12192,1:362
Mark,99,1,11873,1:372
Jenneh,1,99,11754,1:375
Aaron,100,0,11518,1:383
Janet,1,99,11455,1:385
Richard,99,1,11453,1:385
Matthew,99,1,11417,1:386
Tenneh,1,99,11299,1:390
Evelyn,1,99,11237,1:393
Victor,99,1,11172,1:395
Charles,99,1,11158,1:395
Jackson,99,1,10806,1:408
Musa,99,1,10438,1:423
Edward,100,0,10378,1:425
Johnson,98,2,10307,1:428
Korto,1,99,10046,1:439
Jacob,99,1,9874,1:447
Paul,99,1,9846,1:448
Solomon,99,1,9808,1:450
Rose,1,99,9803,1:450
Kumba,1,99,9794,1:450
Maima,1,99,9731,1:453
Mama,1,99,9642,1:458
Satta,1,99,9543,1:462
Amelia,1,99,9496,1:465
Tamba,99,1,9448,1:467
Arthur,99,1,9434,1:468
Elijah,100,0,9103,1:485
Edwin,100,0,9047,1:488
Hannah,1,99,9040,1:488
Saye,99,1,8678,1:508
Lawrence,99,1,8442,1:523
Yah,6,94,8349,1:528
Linda,1,99,8321,1:530
Melvin,99,1,8314,1:531
Philip,99,1,8287,1:532
Andrew,99,1,8217,1:537
Nathaniel,100,0,8191,1:539
Mulbah,98,2,8161,1:541
Garmai,1,99,7838,1:563
Flomo,97,3,7738,1:570
Jestina,1,99,7684,1:574
Yassah,1,99,7663,1:576
Rachel,1,99,7621,1:579
Doris,1,99,7605,1:580
