Name,Male,Female,Incidence,Frequency
Maria,0,100,690800,1:13
Jose,100,0,593889,1:15
Santos,77,23,181709,1:49
Juan,100,0,173030,1:51
Carlos,100,0,137936,1:64
Luis,100,0,95390,1:92
Rosa,0,100,94473,1:93
Ana,0,100,92722,1:95
Oscar,100,0,80380,1:110
Jorge,100,0,75033,1:118
Francisco,100,0,58127,1:152
Juana,0,100,56208,1:157
Miguel,100,0,54723,1:161
Hector,100,0,52490,1:168
Manuel,100,0,49994,1:176
Mario,100,0,49504,1:178
Pedro,100,0,49444,1:178
Gloria,0,100,47132,1:187
Blanca,0,100,46772,1:189
Reina,0,100,45511,1:194
Sandra,0,100,45398,1:194
Norma,0,100,42067,1:210
Victor,100,0,40529,1:218
Marco,100,0,40089,1:220
Martha,0,100,40037,1:220
Angel,100,0,37417,1:236
Iris,0,100,36993,1:238
Julio,100,0,36953,1:239
Karla,0,100,34716,1:254
Marvin,100,0,34371,1:257
Alba,0,100,33908,1:260
Ramon,100,0,33624,1:262
Jesus,83,17,32290,1:273
Karen,0,100,32207,1:274
Olga,0,100,32101,1:275
Wilmer,100,0,31829,1:277
Carmen,0,100,31069,1:284
Nelson,100,0,30212,1:292
Claudia,0,100,30127,1:293
Doris,0,100,29392,1:300
Edwin,100,0,29382,1:300
Marta,0,100,27581,1:320
Wendy,0,100,27169,1:325
Francisca,0,100,26937,1:327
Irma,0,100,26784,1:329
Sonia,0,100,26343,1:335
Mirian,0,100,26260,1:336
Cesar,100,0,25732,1:343
Vilma,0,100,24734,1:356
Roberto,100,0,23637,1:373
Dilcia,0,100,23389,1:377
Mirna,0,100,23296,1:378
Melvin,100,0,23037,1:383
Denis,100,0,22536,1:391
Elsa,0,100,22435,1:393
Glenda,0,100,22134,1:398
Julia,0,100,21961,1:402
German,100,0,21690,1:407
Lourdes,0,100,21435,1:411
Reyna,0,100,21330,1:413
Daniel,100,0,20946,1:421
Lidia,0,100,20791,1:424
Marcos,100,0,20076,1:439
Lilian,0,100,19987,1:441
Pablo,100,0,19531,1:451
Marlon,100,0,19517,1:452
Walter,100,0,19210,1:459
Antonio,100,0,19208,1:459
David,100,0,19207,1:459
Elvin,100,0,19202,1:459
Ada,0,100,19078,1:462
Angela,0,100,19050,1:463
Rafael,100,0,18986,1:464
Fredy,100,0,18850,1:468
Digna,0,100,18604,1:474
Silvia,0,100,18583,1:474
Alex,100,0,18526,1:476
Rigoberto,100,0,18039,1:489
Wilfredo,100,0,17371,1:508
Suyapa,0,100,17258,1:511
Dunia,0,100,17211,1:512
Gladis,0,100,17178,1:513
Javier,100,0,17089,1:516
Brenda,0,100,16916,1:521
Josue,100,0,16871,1:523
Kenia,0,100,16790,1:525
Mercedes,0,100,16715,1:528
Gustavo,100,0,16696,1:528
Raul,100,0,16346,1:539
Rene,100,0,16337,1:540
Miriam,0,100,16286,1:541
Elmer,100,0,15982,1:552
Lesly,71,29,15670,1:563
Mayra,0,100,15644,1:564
Ricardo,100,0,15431,1:571
Paula,0,100,15419,1:572
Roger,100,0,15382,1:573
Gladys,0,100,15338,1:575
Sara,0,100,14923,1:591
Henry,100,0,14722,1:599
Osman,100,0,14681,1:601
Felix,100,0,14380,1:613
Nora,0,100,14268,1:618
Luz,0,100,14261,1:618
Darwin,100,0,14160,1:623
Teresa,0,100,14001,1:630
Wilson,100,0,13895,1:635
Selvin,100,0,13886,1:635
Alma,0,100,13865,1:636
Maritza,0,100,13834,1:637
Hilda,0,100,13633,1:647
Margarita,0,100,13625,1:647
Eva,0,100,13390,1:659
Isabel,0,100,13283,1:664
Ruben,100,0,13264,1:665
Alejandro,100,0,13246,1:666
Andres,100,0,13172,1:669
Concepcion,0,100,13129,1:672
Antonia,0,100,12766,1:691
Santiago,100,0,12651,1:697
Nolvia,0,100,12580,1:701
Zoila,0,100,12540,1:703
Elvia,0,100,12491,1:706
Franklin,100,0,12364,1:713
Felipe,100,0,12304,1:717
Olvin,100,0,12291,1:717
Lucia,0,100,12213,1:722
Ruth,0,100,12210,1:722
Delmy,38,62,12051,1:732
Diana,0,100,12014,1:734
Erika,0,100,11997,1:735
Candida,0,100,11976,1:736
Nancy,0,100,11966,1:737
Marlen,13,87,11959,1:737
Bessy,0,100,11628,1:758
Denia,0,100,11563,1:763
Dania,0,100,11513,1:766
Marina,0,100,11216,1:786
Samuel,100,0,11172,1:789
Eduardo,100,0,11149,1:791
Sergio,100,0,11099,1:794
Omar,100,0,10990,1:802
Saul,100,0,10776,1:818
Dora,0,100,10737,1:821
Victoria,0,100,10693,1:825
Jessica,0,100,10649,1:828
Fernando,100,0,10481,1:841
Cristina,0,100,10346,1:852
Jaime,100,0,10301,1:856
Guadalupe,0,100,10134,1:870
Martin,100,0,10116,1:872
Milton,100,0,10063,1:876
Nery,50,50,9905,1:890
Tomas,100,0,9889,1:892
Joel,100,0,9882,1:892
Gerardo,100,0,9826,1:897
Berta,0,100,9806,1:899
Ingrid,0,100,9758,1:904
Jenny,0,100,9748,1:905
Armando,100,0,9713,1:908
Francis,100,0,9647,1:914
Laura,0,100,9644,1:914
Guillermo,100,0,9460,1:932
Edgar,100,0,9378,1:940
Orlando,100,0,9332,1:945
Xiomara,0,100,9249,1:953
Enma,0,100,9191,1:959
Vicente,100,0,9176,1:961
Jairo,100,0,9148,1:964
Domingo,100,0,9071,1:972
Rony,100,0,9068,1:972
Dolores,0,100,8931,1:987
Noe,100,0,8826,1:999
Julian,94,6,8802,1:1002
Erick,100,0,8729,1:1010
Yolanda,0,100,8726,1:1010
Moises,100,0,8697,1:1014
Ramona,0,100,8624,1:1022
Deysi,0,100,8592,1:1026
Dina,0,100,8565,1:1029
Bertha,0,100,8532,1:1033
Alexis,100,0,8529,1:1034
Fany,0,100,8458,1:1043
Dennis,100,0,8449,1:1044
Alfredo,100,0,8348,1:1056
Salvador,100,0,8308,1:1061
Allan,100,0,8288,1:1064
Luisa,0,100,8262,1:1067
Rolando,100,0,8038,1:1097
Maura,0,100,7947,1:1110
Alicia,0,100,7917,1:1114
Cruz,55,45,7882,1:1119
