Name,Male,Female,Incidence,Frequency
Manatoriy,0,100,3475,1:8198
Minam,42,58,3475,1:8198
Prthi,74,26,3475,1:8198
Rukamini,0,100,3470,1:8210
Beli,0,100,3457,1:8240
Devik,0,100,3453,1:8250
Virkh,90,10,3446,1:8267
Thagani,0,100,3439,1:8284
Mahindr,96,4,3437,1:8288
Jitan,94,6,3433,1:8298
Vecan,98,2,3427,1:8313
Sekhar,99,1,3425,1:8317
Bhupa,88,12,3423,1:8322
Dhala,79,21,3419,1:8332
Wavu,99,1,3419,1:8332
Ghurani,0,100,3418,1:8335
Kasiram,100,0,3416,1:8339
Acyut,98,2,3412,1:8349
Banarasi,30,70,3412,1:8349
Hajari,44,56,3410,1:8354
Sonalal,100,0,3409,1:8357
Maita,42,58,3407,1:8361
Guman,97,3,3394,1:8393
Jai,60,40,3387,1:8411
Chathu,100,0,3385,1:8416
Rajapati,5,95,3385,1:8416
Dora,81,19,3377,1:8436
Haru,2,98,3375,1:8441
Jaitun,0,100,3370,1:8453
Purnakal,0,100,3363,1:8471
Akali,0,100,3359,1:8481
Basamati,0,100,3352,1:8499
