Name,Male,Female,Incidence,Frequency
Armen,100,0,50911,1:57
Anahit,0,100,50609,1:58
Artur,100,0,47336,1:62
Anna,0,100,40300,1:72
Gayane,0,100,39076,1:75
Karine,0,100,35225,1:83
Karen,10,90,34641,1:84
Hasmik,0,100,33278,1:88
Samvel,100,0,29574,1:99
Lusine,0,100,28432,1:103
Susanna,0,100,27986,1:104
Gevorg,100,0,27188,1:107
Armine,24,76,27034,1:108
Ashot,100,0,26966,1:108
Narine,0,100,25719,1:113
Gohar,11,89,24239,1:120
Marine,0,100,24073,1:121
Lilit,12,88,24057,1:121
Arman,100,0,23413,1:125
Gagik,100,0,22030,1:132
Ani,0,100,21953,1:133
Vardan,100,0,20779,1:140
Hayk,100,0,20362,1:143
Ruzanna,0,100,20166,1:145
Mariam,0,100,20111,1:145
Tigran,100,0,19760,1:148
Hovhannes,100,0,19692,1:148
Arsen,100,0,19364,1:151
Aram,100,0,19316,1:151
Anush,8,92,19293,1:151
Davit,100,0,18834,1:155
Andranik,100,0,16969,1:172
Artak,100,0,16534,1:177
Sargis,100,0,15932,1:183
Naira,0,100,15143,1:193
Levon,100,0,14537,1:201
Svetlana,0,100,14007,1:208
Roza,0,100,13714,1:213
Liana,0,100,13642,1:214
Tamara,0,100,13602,1:215
Kristine,0,100,13524,1:216
Edgar,100,0,13290,1:220
Seda,0,100,13261,1:220
Harutyun,100,0,13122,1:222
Hakob,100,0,12754,1:229
Suren,100,0,12575,1:232
Narek,89,11,12471,1:234
Emma,0,100,12058,1:242
Alvard,85,15,11885,1:246
Tatevik,0,100,11733,1:249
Grigor,100,0,11481,1:254
Astghik,0,100,10791,1:270
Robert,100,0,10649,1:274
Knarik,0,100,10642,1:274
Garik,100,0,10491,1:278
Armenuhi,0,100,10205,1:286
Nelli,0,100,10045,1:291
Hamlet,100,0,9887,1:295
Artyom,100,0,9838,1:297
Siranush,0,100,9754,1:299
Albert,100,0,9640,1:303
Sona,0,100,9617,1:303
Vahe,100,0,9537,1:306
Aida,0,100,9464,1:308
Gor,100,0,9323,1:313
Sergey,100,0,9003,1:324
Rima,0,100,8987,1:325
Ruben,100,0,8955,1:326
Nune,54,46,8801,1:332
Vahan,100,0,8353,1:349
Ara,7,93,8341,1:350
Anzela,0,100,8313,1:351
Gurgen,100,0,8227,1:355
Rafik,100,0,8211,1:355
Laura,0,100,8174,1:357
Meri,0,100,8131,1:359
Razmik,100,0,8118,1:360
Mher,83,17,8048,1:363
Hermine,0,100,7978,1:366
Varduhi,0,100,7858,1:371
Garnik,100,0,7747,1:377
Amalya,0,100,7672,1:380
Larisa,0,100,7526,1:388
Arpine,0,100,7513,1:388
Eduard,100,0,7401,1:394
Irina,0,100,7391,1:395
Alina,0,100,7384,1:395
Margarit,0,100,7239,1:403
Arayik,100,0,7172,1:407
Arevik,0,100,6855,1:426
Syuzanna,0,100,6734,1:433
Manvel,100,0,6726,1:434
Hripsime,0,100,6715,1:435
Gegham,100,0,6674,1:437
Satenik,0,100,6640,1:440
Shushanik,0,100,6584,1:443
Khachik,100,0,6537,1:446
Lena,0,100,6313,1:462
Goharik,0,100,6289,1:464
Seryoza,100,0,6234,1:468
Khachatur,100,0,6227,1:469
Ararat,56,44,6226,1:469
Asya,0,100,6066,1:481
Norayr,100,0,6026,1:484
Lida,0,100,5962,1:490
Vazgen,100,0,5865,1:498
Haykanush,0,100,5849,1:499
Vahagn,100,0,5797,1:503
Vladimir,100,0,5769,1:506
Silva,0,100,5707,1:511
Norik,100,0,5561,1:525
Nina,0,100,5536,1:527
Karapet,100,0,5463,1:534
Elmira,0,100,5403,1:540
Edik,100,0,5375,1:543
Kamo,87,13,5351,1:545
Volodya,100,0,5343,1:546
Zora,0,100,5307,1:550
Yelena,0,100,5295,1:551
Seyran,3,97,5254,1:556
Lusik,19,81,5181,1:563
Arusyak,0,100,5130,1:569
Greta,0,100,5127,1:569
David,99,1,5046,1:578
Aramayis,100,0,5033,1:580
Hrant,100,0,5030,1:580
Hrachya,100,0,5021,1:581
Zanna,0,100,4964,1:588
Rita,0,100,4923,1:593
Nvard,0,100,4918,1:593
Yurik,100,0,4904,1:595
Marina,0,100,4858,1:601
Ofelya,0,100,4834,1:604
Vachagan,100,0,4794,1:609
Hovik,73,27,4773,1:612
Diana,0,100,4758,1:613
Stepan,100,0,4755,1:614
Arshak,100,0,4714,1:619
Sevak,100,0,4697,1:621
Margarita,0,100,4670,1:625
Ashkhen,0,100,4661,1:626
Marieta,0,100,4624,1:631
Heghine,0,100,4619,1:632
Araksya,0,100,4530,1:644
Vahram,100,0,4496,1:649
Nver,52,48,4354,1:670
Meline,0,100,4342,1:672
Avetik,100,0,4322,1:675
Hranush,0,100,4314,1:677
Mkrtich,100,0,4308,1:678
Zenya,8,92,4300,1:679
Roman,100,0,4290,1:680
Artashes,100,0,4257,1:686
Henrik,100,0,4216,1:692
Melanya,0,100,4178,1:699
Garegin,100,0,4160,1:702
Shoghik,0,100,4157,1:702
Hrachik,100,0,4123,1:708
Lyudmila,0,100,4114,1:709
Edvard,100,0,4020,1:726
Kristina,0,100,3989,1:732
Alik,100,0,3973,1:735
Arkadi,100,0,3890,1:750
Alla,0,100,3876,1:753
Lianna,0,100,3858,1:757
Smbat,100,0,3847,1:759
Zaruhi,0,100,3847,1:759
Martin,100,0,3817,1:765
Nazik,0,100,3805,1:767
Aleksandr,100,0,3802,1:768
Misha,100,0,3797,1:769
Vardanush,0,100,3765,1:775
Rubik,84,16,3760,1:776
Taguhi,0,100,3739,1:781
Mushegh,100,0,3723,1:784
Sirvard,14,86,3688,1:791
Geghecik,0,100,3666,1:796
Zoya,0,100,3653,1:799
Varuzan,100,0,3630,1:804
Alisa,0,100,3594,1:812
Vanik,95,5,3571,1:817
Grisha,100,0,3536,1:825
Karlen,92,8,3528,1:827
Manushak,0,100,3516,1:830
Sofya,0,100,3484,1:838
Mikayel,100,0,3482,1:838
