Name,Male,Female,Incidence,Frequency
Seyyed Mortazai,93,7,9006,1:8716
Ahmad Ali,100,0,8954,1:8767
Amir Reza,100,0,8904,1:8816
Mhabob,0,0,8886,1:8834
Golnar,18,82,8797,1:8923
Melika,0,100,8796,1:8924
Varea,18,82,8769,1:8952
Nisa,0,100,8763,1:8958
Seyyed Mohammad Reza,94,6,8760,1:8961
Hashemi,32,68,8755,1:8966
Sona,15,85,8720,1:9002
Mohammad Ebrahim,100,0,8711,1:9011
Ghadam,66,34,8698,1:9025
Seyyed Abbas,93,7,8646,1:9079
Sugar,64,36,8641,1:9084
Sholeh,92,8,8621,1:9105
Moradi,30,70,8620,1:9106
Shayan,100,0,8601,1:9126
Yalda,54,46,8581,1:9148
Hosseini,100,0,8551,1:9180
Bint,0,100,8523,1:9210
Hakim,100,0,8522,1:9211
Masih,91,9,8499,1:9236
Akbari,11,89,8485,1:9251
Kennis,100,0,8469,1:9269
Sherafat,0,100,8463,1:9275
Almeh,0,100,8439,1:9302
Abdol Sattar,100,0,8407,1:9337
Seyed,94,6,8405,1:9339
Tayeb,100,0,8357,1:9393
Roshan,31,69,8346,1:9405
Badri,59,41,8284,1:9476
Ghaleh,0,0,8282,1:9478
Raha,0,100,8279,1:9481
Fallah,20,80,8266,1:9496
Hana,0,100,8266,1:9496
Farnoush,0,0,8263,1:9500
Sabereh,0,100,8244,1:9522
Qale,100,0,8238,1:9529
Aramen,100,0,8225,1:9544
Rozita,0,100,8211,1:9560
Mazgan,100,0,8136,1:9648
Abdul Jalil,100,0,8116,1:9672
Matin,100,0,8078,1:9717
Beniamin,100,0,8009,1:9801
Shokrollah,100,0,7979,1:9838
Afshar,84,16,7959,1:9863
Rabieh,0,100,7945,1:9880
Sabriyeh,0,100,7898,1:9939
Aria,0,0,7830,1:10025
Kafieh,0,100,7825,1:10032
Dolat,25,75,7808,1:10053
Imam,100,0,7799,1:10065
Sham,85,15,7775,1:10096
Malakh,90,10,7720,1:10168
Atana,50,50,7719,1:10169
Shabanali,100,0,7715,1:10175
Salem,100,0,7701,1:10193
Soda,21,79,7698,1:10197
Esrafil,91,9,7684,1:10216
Hamdoleh,0,0,7683,1:10217
Axare,89,11,7677,1:10225
Mekaiel,100,0,7632,1:10285
Masiub,0,0,7628,1:10291
Delshad,17,83,7624,1:10296
Zlikha,0,100,7608,1:10318
Noorali,91,9,7600,1:10329
Seyyed Mahmoud,93,7,7591,1:10341
Seyed Mojtaba,94,6,7587,1:10346
Mounes,20,80,7585,1:10349
Amina,0,100,7584,1:10350
Saadalah,50,50,7575,1:10363
Nouri,91,9,7569,1:10371
Taji,33,67,7555,1:10390
Goodarz,100,0,7551,1:10396
Siran,11,89,7551,1:10396
Ghobad,100,0,7523,1:10434
Khosh,55,45,7493,1:10476
Noorollah,100,0,7493,1:10476
Taha,100,0,7480,1:10494
Azizullah,100,0,7423,1:10575
