Name,Male,Female,Incidence,Frequency
Andreas,100,0,51288,1:17
Maria,0,100,34849,1:25
Georgios,100,0,24867,1:35
Eleni,0,100,23794,1:37
Costas,100,0,13188,1:66
Nicos,100,0,10812,1:81
Panayiotis,100,0,10418,1:84
Kyriacos,100,0,10339,1:84
Christos,100,0,9927,1:88
Charalambos,100,0,9747,1:89
Anna,0,100,9279,1:94
Christakis,100,0,8687,1:100
Georgia,0,100,8507,1:102
Panayiota,0,100,8297,1:105
Androulla,0,100,8099,1:108
Marios,100,0,8079,1:108
Ioannis,100,0,8020,1:109
Michalis,100,0,7476,1:117
Christina,0,100,7379,1:118
Savvas,100,0,7307,1:119
Chrystalla,0,100,7279,1:120
Antonis,100,0,7166,1:122
Demetris,100,0,6756,1:129
Elena,0,100,6634,1:131
Michael,100,0,5828,1:149
Stelios,100,0,5769,1:151
Maroulla,0,100,5536,1:157
Niki,0,100,5525,1:158
Michalakis,100,0,5338,1:163
Stella,0,100,5331,1:163
Androula,0,100,5312,1:164
Constantinos,100,0,5016,1:174
Petros,100,0,4946,1:176
Stavros,100,0,4800,1:181
Yiannakis,100,0,4796,1:182
Katerina,0,100,4649,1:187
Irene,0,100,4380,1:199
Christodoulos,100,0,4339,1:201
Marina,0,100,4069,1:214
Soteris,100,0,3887,1:224
Despina,0,100,3793,1:230
Kyriaki,0,100,3772,1:231
George,100,0,3701,1:235
Andri,0,100,3677,1:237
Demetra,0,100,3509,1:248
Ioanna,0,100,3375,1:258
Elli,0,100,3211,1:271
Panicos,100,0,3087,1:282
Maroula,0,100,3066,1:284
Pavlos,100,0,2981,1:292
Anastasia,0,100,2902,1:300
Demetrios,100,0,2869,1:304
Andriani,0,100,2850,1:306
Loizos,100,0,2779,1:313
Theodora,0,100,2777,1:314
Theodoros,100,0,2727,1:319
Pantelis,100,0,2662,1:327
Nicolas,100,0,2466,1:353
Panagiota,0,100,2437,1:357
Loucas,100,0,2428,1:359
Elias,100,0,2401,1:363
Costakis,100,0,2386,1:365
Neophytos,100,0,2377,1:366
Christoforos,100,0,2356,1:370
Anastassia,0,100,2320,1:375
Spyros,100,0,2309,1:377
Yiannis,100,0,2270,1:384
Takis,100,0,2213,1:394
Vassos,100,0,2185,1:399
Dora,0,100,2173,1:401
Despo,0,100,2170,1:401
Mary,0,100,2133,1:408
Angeliki,0,100,2068,1:421
Margarita,3,97,2038,1:427
Sophia,0,100,2010,1:433
Stavroulla,0,100,1954,1:446
Eleftheria,0,100,1923,1:453
Sofia,0,100,1913,1:455
Giorgos,100,0,1905,1:457
Kypros,100,0,1904,1:457
Maro,54,46,1887,1:462
Christiana,0,100,1869,1:466
Paraskevi,0,100,1863,1:468
Constantia,0,0,1802,1:483
Yiannoula,0,100,1775,1:491
Alexandros,100,0,1721,1:506
Antonios,100,0,1704,1:511
Charis,100,0,1698,1:513
Philippos,100,0,1684,1:517
Loukia,0,100,1681,1:518
Olga,0,100,1667,1:523
Stavroula,0,100,1629,1:535
Antonia,0,100,1628,1:535
Nitsa,0,100,1602,1:544
Kyriakos,100,0,1513,1:576
Antonakis,100,0,1506,1:578
