Name,Male,Female,Incidence,Frequency
Sevinc,0,100,61539,1:157
Kamale,0,100,47416,1:203
Günel,0,100,47327,1:204
Sevda,0,100,46908,1:206
Tarane,0,100,45212,1:213
Anar,66,34,44109,1:219
Aygün,35,65,44019,1:219
Ali,100,0,43935,1:219
Gülnare,0,100,43281,1:223
Leyla,0,100,43167,1:223
Elçin,50,50,43000,1:224
Arzu,1,99,42093,1:229
Günay,46,54,41685,1:231
Könül,0,100,41673,1:231
Vüsale,0,100,41311,1:233
Elnur,83,17,40245,1:240
Vüqar,100,0,39203,1:246
Elmira,0,100,38834,1:248
Samir,100,0,38734,1:249
Elşan,61,39,36981,1:261
Ilqar,100,0,36697,1:263
Yegane,0,100,36152,1:267
Elvin,100,0,35524,1:271
Elnare,0,100,35307,1:273
Samire,100,0,34704,1:278
Gülnar,0,100,34056,1:283
Irade,0,100,33998,1:284
Tural,84,16,33306,1:290
Zaur,100,0,32685,1:295
Lale,10,90,32564,1:296
Rana,0,100,32101,1:300
Aynure,0,100,31771,1:304
Sevil,0,100,31468,1:306
Parvane,0,100,31432,1:307
Aynur,0,100,31415,1:307
Azar,95,5,31323,1:308
Vüsal,67,33,30921,1:312
Ilham,58,42,30848,1:313
Rövşan,100,0,30514,1:316
Raşad,95,5,30279,1:318
Orxan,100,0,30173,1:320
Matanat,100,0,30072,1:321
Ruslan,100,0,29845,1:323
Xayale,0,100,29347,1:329
Naile,0,100,28759,1:335
Ülviyye,0,100,28709,1:336
Nazakat,27,73,28391,1:340
Sabine,0,100,28385,1:340
Mehriban,0,100,28384,1:340
Emin,100,0,28262,1:341
Ramil,100,0,27973,1:345
Solmaz,0,100,27820,1:347
Aysel,0,100,27547,1:350
Malahat,15,85,27214,1:354
Ramin,94,6,26949,1:358
Ceyhun,100,0,26878,1:359
Ilhame,0,100,26650,1:362
Fatma,0,100,26593,1:363
Faride,0,100,26352,1:366
Nargiz,0,100,26328,1:366
Nigar,0,100,26247,1:367
Camile,0,100,26229,1:368
Natiq,95,5,25890,1:372
Vaqif,100,0,25859,1:373
Rasim,100,0,25414,1:379
Gülşan,0,100,24461,1:394
Rahile,0,100,24375,1:396
Şahla,0,100,24212,1:398
