Name,Male,Female,Incidence,Frequency
Mohamed,100,0,402510,1:10
Mariem,0,100,129457,1:32
Fatimetou,0,100,124563,1:33
Sidi,100,0,105972,1:39
Ahmed,100,0,91340,1:45
Aminetou,0,100,85251,1:48
Khadijetou,0,100,75106,1:55
Cheikh,99,1,66332,1:62
Zeinebou,0,100,66061,1:62
Vatimetou,0,100,58470,1:70
Aichetou,0,100,57917,1:71
Oum,0,100,37402,1:109
Brahim,100,0,31916,1:128
Hawa,0,100,31599,1:130
Mamadou,100,0,31546,1:130
Fatimata,0,100,31361,1:131
Oumar,100,0,31240,1:131
Amadou,100,0,30842,1:133
Abdellahi,100,0,28781,1:142
Aissata,0,100,28663,1:143
Lalla,0,100,27841,1:147
Aicha,0,100,27136,1:151
Vatma,0,100,27060,1:151
Fatma,0,100,26960,1:152
Moussa,100,0,24838,1:165
Aminata,0,100,21872,1:187
Toutou,0,100,21804,1:188
Aly,100,0,19782,1:207
Coumba,0,100,19475,1:210
Samba,100,0,18519,1:221
Mohamedou,100,0,17317,1:236
Salma,0,100,17026,1:241
Ahmedou,100,0,16673,1:246
Ely,100,0,16175,1:253
Oumou,0,100,16093,1:254
Abou,100,0,16038,1:255
Teslem,0,100,14067,1:291
Maimouna,0,100,13994,1:293
Djeinaba,0,100,13608,1:301
Salka,0,100,13197,1:310
Baba,93,7,13001,1:315
Marieme,0,100,12510,1:327
Abdallahi,100,0,12507,1:327
Abdoulaye,100,0,12439,1:329
Mahmoud,100,0,12434,1:329
Saleck,98,2,12240,1:335
Adama,87,13,12047,1:340
Aiche,0,100,12039,1:340
Sid,100,0,11806,1:347
Cheikhna,99,1,11717,1:350
Abderrahmane,100,0,11633,1:352
Meimouna,0,100,11566,1:354
Ousmane,100,0,11436,1:358
Yahya,100,0,11211,1:365
Demba,99,1,11196,1:366
El Hacen,100,0,11184,1:366
Dah,99,1,11094,1:369
Taleb,100,0,10791,1:380
Ramata,0,100,10779,1:380
Ibrahima,100,0,10773,1:380
Salem,96,4,10724,1:382
Isselmou,100,0,10598,1:386
Alioune,100,0,10253,1:399
Khdeija,0,100,10143,1:404
Alassane,100,0,10110,1:405
El Moctar,100,0,9874,1:415
Mariam,0,100,9782,1:419
Sid&#39;ahmed,100,0,9708,1:422
Youma,0,100,9222,1:444
El Moustapha,100,0,8880,1:461
Moulaye,100,0,8700,1:471
Haby,1,99,8637,1:474
Mama,3,97,8620,1:475
Faty,1,99,8617,1:475
Harouna,99,1,8578,1:477
Houleye,0,100,8428,1:486
Raghiya,0,100,8203,1:499
Hamady,100,0,8131,1:504
Mahfoudh,98,2,8099,1:506
Binta,0,100,8096,1:506
Fatou,0,100,8096,1:506
Djibril,100,0,7985,1:513
Mohameden,100,0,7867,1:521
Messouda,0,100,7815,1:524
Vatme,0,100,7461,1:549
Saidou,100,0,7268,1:563
Abdel,100,0,7131,1:574
Mahjouba,0,100,7104,1:576
Yacoub,100,0,6985,1:586
Abdoul,100,0,6667,1:614
Zeinabou,0,100,6643,1:616
Boubacar,100,0,6621,1:619
Zahra,0,100,6439,1:636
Halima,0,100,6202,1:660
Ethmane,100,0,6199,1:661
Bilal,100,0,6080,1:674
M&#39;Barka,1,99,6071,1:675
Lalle,0,100,6043,1:678
Kadiata,0,100,5894,1:695
El Hassen,100,0,5800,1:706
Babe,87,13,5781,1:708
Mame,5,95,5593,1:732
Meima,0,100,5549,1:738
Amar,99,1,5480,1:747
Mounina,0,100,5471,1:749
Idoumou,99,1,5467,1:749
Mamoudou,100,0,5443,1:752
Issa,99,1,5438,1:753
M&#39;Bareck,93,7,5430,1:754
Daouda,100,0,5400,1:758
El Hadj,99,1,5362,1:764
El Houssein,100,0,5229,1:783
Minetou,0,100,5226,1:784
Bah,98,2,5191,1:789
Khadjetou,0,100,5182,1:790
Hamoud,100,0,5109,1:802
El Housseine,100,0,5083,1:806
Tahya,0,100,4964,1:825
Mint,0,100,4932,1:830
Sidaty,100,0,4906,1:835
Hamidou,100,0,4876,1:840
Abd,100,0,4647,1:881
Salamata,0,100,4554,1:899
Zeina,1,99,4488,1:912
Souleymane,100,0,4453,1:920
Moustapha,100,0,4440,1:922
Moctar,99,1,4432,1:924
Aliou,100,0,4398,1:931
Rougui,0,100,4328,1:946
Dieynaba,0,100,4296,1:953
Djiby,100,0,4259,1:962
Lala,0,100,4096,1:1000
El Mokhtar,100,0,4035,1:1015
Mariata,0,100,3970,1:1032
Penda,0,100,3948,1:1037
