Name,Male,Female,Incidence,Frequency
Teboho,94,6,21509,1:95
Thabo,99,1,18868,1:108
Lebohang,79,21,16409,1:124
Thabang,98,2,15400,1:132
Thabiso,99,1,12989,1:157
Rethabile,59,41,11995,1:170
Mpho,47,53,11744,1:174
Moeketsi,99,1,11363,1:180
Lehlohonolo,99,1,11333,1:180
Nthabiseng,1,99,10924,1:187
Relebohile,46,54,9690,1:211
Motlatsi,99,1,9208,1:222
Lerato,26,74,9196,1:222
Thato,47,53,7894,1:258
Lineo,3,97,7750,1:263
Sello,99,1,7500,1:272
Tankiso,86,14,7124,1:286
Malefetsane,99,1,6782,1:301
Ts&#39;eliso,99,1,6690,1:305
Bokang,84,16,6591,1:310
Puseletso,13,87,6535,1:312
&#39;Mathabo,1,99,6338,1:322
Tumelo,96,4,6059,1:337
Neo,66,34,5991,1:341
Tseliso,98,2,5969,1:342
&#39;Mateboho,1,99,5877,1:347
Molefi,99,1,5867,1:348
Thapelo,97,3,5675,1:359
Khotso,99,1,5468,1:373
Itumeleng,14,86,5434,1:375
Limakatso,1,99,5360,1:381
Palesa,1,99,5341,1:382
Limpho,40,60,5322,1:383
Puleng,1,99,5321,1:383
Ntsoaki,1,99,5249,1:389
Lefu,99,1,5186,1:393
Fusi,97,3,5181,1:394
Nthabeleng,2,98,5080,1:402
Matseliso,1,99,5032,1:405
Tanki,94,6,4934,1:413
Motlalepula,97,3,4921,1:415
Mokete,96,4,4865,1:419
Tebello,47,53,4796,1:425
&#39;Malebohang,1,99,4632,1:440
Mahlomola,99,1,4581,1:445
Ts&#39;epo,99,1,4546,1:449
Mats&#39;eliso,1,99,4454,1:458
Moliehi,1,99,4305,1:474
Rets&#39;elisitsoe,86,14,4258,1:479
Mohau,96,4,4200,1:486
Lieketseng,1,99,4000,1:510
Keketso,81,19,3979,1:513
Refiloe,37,63,3944,1:517
&#39;Mathabang,1,99,3810,1:535
Seabata,99,1,3810,1:535
Mosiuoa,98,2,3807,1:536
&#39;Malerato,1,99,3732,1:547
Tsepo,99,1,3726,1:548
&#39;Mathato,1,99,3722,1:548
Retselisitsoe,83,17,3688,1:553
Joseph,99,1,3534,1:577
Kabelo,91,9,3510,1:581
&#39;Manthabiseng,0,100,3506,1:582
&#39;Matumelo,1,99,3503,1:582
Pulane,1,99,3477,1:587
Pitso,99,1,3396,1:601
&#39;Marethabile,1,99,3300,1:618
&#39;Mathabiso,1,99,3270,1:624
Tsietsi,99,1,3261,1:626
Mojalefa,99,1,3257,1:626
Keneuoe,3,97,3234,1:631
Moleboheng,2,98,3234,1:631
Mookho,1,99,3197,1:638
Mathabo,1,99,3187,1:640
&#39;Makhotso,1,99,3117,1:654
Motsamai,99,1,3083,1:662
Paseka,99,1,3032,1:673
Tefo,99,1,3010,1:678
&#39;Mampho,1,99,2989,1:683
Mateboho,1,99,2964,1:688
Lefa,99,1,2831,1:721
Nteboheleng,2,98,2827,1:722
Katleho,84,16,2793,1:730
Ts&#39;epang,75,25,2763,1:738
Liteboho,61,39,2739,1:745
&#39;Matebello,1,99,2676,1:762
&#39;Maneo,1,99,2613,1:781
Selloane,1,99,2601,1:784
Tiisetso,59,41,2591,1:787
Thuso,94,6,2535,1:805
Tlali,99,1,2490,1:819
&#39;Mabokang,1,99,2480,1:823
&#39;Maitumeleng,0,100,2463,1:828
Mamello,7,93,2439,1:836
&#39;Mathapelo,1,99,2402,1:849
Tumisang,95,5,2399,1:850
Tseko,99,1,2379,1:858
Sechaba,99,1,2368,1:861
Kopano,99,1,2365,1:863
Paballo,49,51,2359,1:865
Maleshoane,1,99,2352,1:867
Pule,99,1,2321,1:879
&#39;Malineo,1,99,2317,1:880
Mpolokeng,2,98,2310,1:883
&#39;Makatleho,0,100,2263,1:901
Tsepang,70,30,2250,1:907
&#39;Malehlohonolo,0,100,2241,1:910
&#39;Mapoloko,1,99,2224,1:917
Libuseng,1,99,2223,1:918
Samuel,99,1,2179,1:936
&#39;Matankiso,0,100,2173,1:939
Anna,1,99,2128,1:959
Monaheng,99,1,2128,1:959
Lisebo,1,99,2109,1:967
&#39;Malefu,0,100,2099,1:972
&#39;Mampolokeng,0,100,2099,1:972
Tholang,81,19,2099,1:972
Pheello,98,2,2078,1:982
Mohapi,98,2,2076,1:983
Kamohelo,86,14,2056,1:992
