Name,Male,Female,Incidence,Frequency
Mohamed,98,2,1795647,1:17
Muhammad,99,1,944201,1:32
Siti,1,99,813018,1:37
Nur,4,96,780234,1:39
Mohamad,99,1,610849,1:50
Encik,100,0,554419,1:55
Nor,10,90,509839,1:60
Nurul,2,98,459285,1:66
Muhamad,99,1,434775,1:70
Ahmad,99,1,332792,1:91
Cik,1,99,302621,1:101
Abdul,99,1,291644,1:104
Noor,11,89,270307,1:113
Mohammad,99,1,250582,1:122
Mohammed,100,0,225701,1:135
Puan,0,100,195477,1:156
Siew,12,88,175244,1:174
Chee,91,9,137903,1:221
Kim,61,39,130537,1:233
Kok,96,4,104851,1:290
Nik,49,51,88848,1:343
Lee,14,86,83646,1:364
Chin,77,23,81019,1:376
Fatimah,1,99,75611,1:403
Ismail,99,1,71263,1:427
Khairul,92,8,68531,1:444
Che,24,76,65913,1:462
Boon,86,14,64195,1:474
Yoke,18,82,62160,1:490
Wan,34,66,60602,1:502
Wai,57,43,59910,1:508
Swee,43,57,58355,1:522
Bee,6,94,56778,1:536
Poh,31,69,56442,1:539
Wei,71,29,56151,1:542
Mat,98,2,54647,1:557
Sharifah,1,99,51590,1:590
Mei,3,97,51009,1:597
Abdullah,99,1,50489,1:603
Lai,23,77,49891,1:610
Fatin,1,99,49016,1:621
Syed,99,1,48920,1:622
Noraini,1,99,47201,1:645
Choon,67,33,47127,1:646
Raja,54,46,45418,1:670
Azizah,1,99,45203,1:674
Rohani,2,98,41877,1:727
Eng,84,16,41664,1:731
Faridah,1,99,41280,1:738
Soon,81,19,40940,1:744
Norhayati,1,99,39622,1:769
Yee,40,60,38130,1:799
Ibrahim,98,2,37480,1:812
Cheng,68,32,36866,1:826
Zainab,1,99,36826,1:827
Azman,98,2,36170,1:842
Dayang,1,99,36080,1:844
Farah,1,99,35559,1:856
Madam,0,100,34837,1:874
Rosli,98,2,34768,1:876
Soo,31,69,34217,1:890
Ai,8,92,33943,1:897
Hui,11,89,33195,1:917
Roslan,98,2,32559,1:935
Seng,91,9,32422,1:939
Hamidah,1,99,32304,1:943
Zulkifli,99,1,32009,1:951
Rohana,1,99,31971,1:952
Amirul,98,2,31127,1:978
Azmi,98,2,30970,1:983
Ali,95,5,30928,1:985
Kam,63,37,30763,1:990
Intan,1,99,30668,1:993
Mee,7,93,30602,1:995
Hasnah,1,99,30516,1:998
Rokiah,1,99,30461,1:1000
Yong,81,19,30449,1:1000
Hock,95,5,30261,1:1006
Jamilah,1,99,30192,1:1009
Zainal,98,2,29994,1:1015
Pei,6,94,29965,1:1016
Amir,98,2,29731,1:1024
Lay,8,92,29453,1:1034
Chong,87,13,29041,1:1049
Chai,37,63,28691,1:1061
Zakaria,99,1,28655,1:1063
Tengku,48,52,28505,1:1068
Li,10,90,28425,1:1071
Chun,88,12,28329,1:1075
Salmah,1,99,28124,1:1083
Kah,69,31,27893,1:1092
Awang,98,2,27711,1:1099
Ramlah,1,99,27303,1:1115
Halimah,1,99,27037,1:1126
Aminah,1,99,27027,1:1127
Yew,81,19,26890,1:1132
Fauziah,1,99,26176,1:1163
Teck,91,9,26138,1:1165
Hong,66,34,26094,1:1167
Saiful,98,2,25878,1:1177
Choong,60,40,25855,1:1178
Zaiton,1,99,25128,1:1212
Ramli,98,2,24930,1:1221
Wee,76,24,24747,1:1230
Kian,94,6,24680,1:1234
See,53,47,24648,1:1235
Ching,58,42,24399,1:1248
Kee,83,17,23884,1:1275
Yin,30,70,23863,1:1276
Anis,4,96,23218,1:1311
Beng,71,29,23184,1:1313
Yen,22,78,23154,1:1315
Normah,1,99,23123,1:1317
Su,26,74,22796,1:1336
Meng,72,28,22697,1:1342
Abu Bakar,98,2,22446,1:1357
Othman,99,1,22344,1:1363
Weng,91,9,22215,1:1371
Ming,69,31,22164,1:1374
Nyuk,24,76,22091,1:1378
Mazlan,98,2,21981,1:1385
Chew,31,69,21687,1:1404
Omar,98,2,21673,1:1405
Sin,51,49,21653,1:1406
Mariam,1,99,21548,1:1413
Hassan,98,2,21325,1:1428
Rosnah,1,99,21189,1:1437
Kamariah,1,99,20968,1:1452
Kai,68,32,20928,1:1455
Fook,87,13,20735,1:1469
Azhar,99,1,20554,1:1481
Anuar,98,2,20470,1:1488
Norizan,12,88,20314,1:1499
Shahrul,95,5,20107,1:1514
Yoon,64,36,19840,1:1535
Sitti,1,99,19376,1:1572
Peng,84,16,19342,1:1574
Sabariah,1,99,19325,1:1576
Sook,3,97,19255,1:1581
Kong,92,8,19123,1:1592
Suhaimi,97,3,19065,1:1597
Kin,85,15,18703,1:1628
Zarina,1,99,18616,1:1636
Yun,52,48,18425,1:1653
Sulaiman,98,2,18361,1:1658
Mun,67,33,18295,1:1664
Umi,1,99,18277,1:1666
John,98,2,18175,1:1675
Aishah,1,99,18073,1:1685
Maria,4,96,17916,1:1700
Norliza,1,99,17847,1:1706
Razali,99,1,17810,1:1710
Geok,14,86,17801,1:1711
Keng,85,15,17547,1:1735
Mary,1,99,17538,1:1736
Rahimah,1,99,17317,1:1758
Rozita,1,99,17217,1:1769
Zaleha,1,99,17120,1:1779
Jia,45,55,16996,1:1792
Rahmah,1,99,16874,1:1805
Roslina,1,99,16870,1:1805
Azlina,1,99,16619,1:1832
Juliana,1,99,16486,1:1847
Lian,48,52,16477,1:1848
Maimunah,1,99,16360,1:1861
Maznah,1,99,16344,1:1863
Ab,99,1,16288,1:1869
Hashim,99,1,16071,1:1895
Rosnani,1,99,16038,1:1899
Nordin,98,2,16027,1:1900
Jamaliah,1,99,15995,1:1904
Azlan,98,2,15820,1:1925
Mui,11,89,15676,1:1942
Zaharah,1,99,15590,1:1953
Asmah,1,99,15491,1:1966
David,98,2,15476,1:1968
Hooi,19,81,15445,1:1972
Ishak,99,1,15410,1:1976
Chen,73,27,15365,1:1982
Osman,99,1,15310,1:1989
Zamri,98,2,15167,1:2008
Asiah,1,99,15122,1:2014
Nora,2,98,15122,1:2014
Moi,6,94,15109,1:2015
Chooi,12,88,15098,1:2017
Peter,98,2,15078,1:2019
Sarimah,1,99,14879,1:2047
Heng,86,14,14782,1:2060
Kwee,31,69,14745,1:2065
Chiew,25,75,14699,1:2072
Joseph,98,2,14665,1:2076
Salina,1,99,14661,1:2077
Rohaya,1,99,14615,1:2083
Sau,20,80,14568,1:2090
Yok,27,73,14545,1:2093
Johari,98,2,14417,1:2112
Yu,63,37,14399,1:2115
Sam,54,46,14157,1:2151
Guat,3,97,14145,1:2153
Fong,23,77,14136,1:2154
Kar,62,38,14131,1:2155
