Name,Male,Female,Incidence,Frequency
Fahad,100,0,16000,1:148
Syed,100,0,13904,1:170
Sunil,100,0,12816,1:185
Jassim,100,0,11755,1:202
Abdulrahman,100,0,11599,1:204
Sara,2,98,10896,1:217
Salim,100,0,10554,1:225
Mubarak,100,0,9649,1:246
Faisal,100,0,9426,1:251
Krishna,100,0,9166,1:259
Raja,86,14,5948,1:398
Sayed,100,0,5805,1:408
Praveen,100,0,5454,1:434
Ramesh,100,0,5255,1:451
Prem,100,0,4999,1:474
Saoud,100,0,4913,1:482
Rakesh,100,0,4815,1:492
Chandra,100,0,4619,1:513
Omer,100,0,4289,1:552
Rajeev,100,0,4276,1:554
Sameh,100,0,4038,1:587
Rajan,100,0,3931,1:603
Arshad,100,0,3870,1:612
Binu,100,0,3785,1:626
Michael,100,0,3775,1:628
Basheer,100,0,3637,1:652
Salman,100,0,3619,1:655
Sarah,0,100,3514,1:674
Saji,100,0,3466,1:684
Venkata,100,0,3269,1:725
Raju,100,0,3256,1:728
Santosh,100,0,3164,1:749
Marwa,0,100,3146,1:753
Sreejith,100,0,3146,1:753
Tamer,100,0,3113,1:761
Irshad,100,0,3095,1:766
Shaik,100,0,3024,1:784
Biju,100,0,3021,1:784
Yousuf,100,0,3006,1:788
Saman,99,1,2985,1:794
Narayan,100,0,2973,1:797
Ashok,100,0,2924,1:810
John,100,0,2909,1:815
Dinesh,100,0,2827,1:838
Iqbal,100,0,2827,1:838
Ma,0,100,2827,1:838
Naveen,100,0,2653,1:893
Nur,76,24,2653,1:893
Muthu,100,0,2617,1:905
Surya,100,0,2617,1:905
Malik,100,0,2592,1:914
David,100,0,2576,1:920
Hari,100,0,2571,1:922
Firoz,100,0,2530,1:937
Om,100,0,2530,1:937
Faizal,100,0,2515,1:942
Santhosh,100,0,2515,1:942
Sulaiman,100,0,2479,1:956
Shaikh,100,0,2456,1:965
Anas,100,0,2454,1:966
Rima,0,100,2423,1:978
Fazal,100,0,2420,1:979
Mark,100,0,2418,1:980
Thani,100,0,2408,1:984
Sandeep,100,0,2403,1:986
Indra,100,0,2372,1:999
Lal,100,0,2372,1:999
Reda,88,12,2331,1:1017
Harish,100,0,2285,1:1037
Paul,100,0,2282,1:1038
Bala,100,0,2272,1:1043
