Name,Male,Female,Incidence,Frequency
Maria,1,99,854443,1:19
Jose,100,0,585681,1:28
Juan,100,0,480299,1:34
Carlos,100,0,312239,1:52
Luis,100,0,226797,1:71
Francisco,100,0,223865,1:72
Pedro,100,0,219596,1:73
Ana,0,100,206596,1:78
Santos,62,38,206030,1:78
Juana,0,100,191461,1:84
Manuel,100,0,187896,1:86
Jorge,100,0,173973,1:93
Miguel,100,0,170193,1:95
Rosa,1,99,156436,1:103
Mario,100,0,153351,1:105
Marta,0,100,117691,1:137
Victor,100,0,113867,1:141
Edgar,100,0,111446,1:145
Domingo,100,0,106345,1:151
Julio,100,0,103469,1:156
Tomas,100,0,97569,1:165
Oscar,100,0,94950,1:170
Santiago,99,1,91302,1:176
Antonio,100,0,89552,1:180
Blanca,1,99,85279,1:189
Hector,100,0,83366,1:193
Pablo,100,0,83290,1:193
Cesar,100,0,80085,1:201
Roberto,100,0,77670,1:207
Irma,1,99,76540,1:210
Sandra,1,99,74883,1:215
Marco,99,1,72364,1:223
Alberto,100,0,68347,1:236
Aura,1,99,68221,1:236
Ricardo,100,0,67423,1:239
Carmen,8,92,67040,1:240
Sebastian,99,1,66919,1:241
Gloria,0,100,66174,1:243
Olga,0,100,64993,1:248
Francisca,0,100,64492,1:250
Margarita,1,99,62227,1:259
Silvia,1,99,61647,1:261
Hugo,100,0,60795,1:265
Marvin,100,0,59039,1:273
Edwin,100,0,58914,1:273
Brenda,1,99,57611,1:280
Manuela,1,99,53487,1:301
Vicente,100,0,53094,1:303
Claudia,1,99,52183,1:309
Alejandro,100,0,51474,1:313
Vilma,1,99,51297,1:314
Felipe,100,0,50082,1:322
Martin,100,0,49051,1:328
Angel,100,0,48534,1:332
Marcos,96,4,48373,1:333
Isabel,14,86,47760,1:337
Diego,100,0,47375,1:340
Byron,100,0,47363,1:340
Eduardo,100,0,45564,1:354
Alfredo,99,1,45233,1:356
Ingrid,1,99,44521,1:362
Julia,1,99,44418,1:363
Fredy,100,0,44157,1:365
Daniel,100,0,44149,1:365
David,100,0,43530,1:370
Jesus,67,33,43527,1:370
Enrique,100,0,43069,1:374
Erick,100,0,42630,1:378
Walter,100,0,42006,1:383
Miriam,1,99,41800,1:385
Tomasa,1,99,41611,1:387
Zoila,1,99,40609,1:397
Andres,99,1,40455,1:398
Rolando,100,0,40199,1:401
Sergio,100,0,40127,1:401
Sonia,0,100,39564,1:407
Mateo,100,0,39288,1:410
Norma,1,99,38626,1:417
Dora,1,99,38540,1:418
Mirna,1,99,37420,1:430
Gustavo,100,0,37271,1:432
Catarina,0,100,36377,1:443
Candelaria,0,100,36000,1:447
Lidia,1,99,35675,1:452
Teresa,0,100,35498,1:454
Mayra,1,99,35104,1:459
Elsa,1,99,34897,1:462
Guillermo,100,0,34464,1:467
Rigoberto,100,0,34429,1:468
Fernando,100,0,34265,1:470
Alba,1,99,34028,1:473
Nicolas,99,1,33984,1:474
Lucia,1,99,33807,1:476
Mariano,100,0,33740,1:477
Samuel,100,0,33147,1:486
Paula,0,100,33094,1:487
Rudy,100,0,33056,1:487
Reyna,1,99,33050,1:487
Rafael,99,1,32803,1:491
Lorenzo,99,1,32540,1:495
Marcelino,99,1,32450,1:496
Rodolfo,100,0,32229,1:500
Jaime,100,0,30724,1:524
Hilda,1,99,30467,1:529
Lilian,1,99,30426,1:529
Emilio,100,0,30290,1:532
Raul,100,0,30120,1:535
Dominga,0,100,28870,1:558
Alfonso,100,0,28626,1:563
Ruben,100,0,28286,1:569
Berta,1,99,28257,1:570
Elmer,100,0,28184,1:572
Sara,1,99,27935,1:577
Gregorio,100,0,27630,1:583
Gladys,1,99,27566,1:584
Clara,1,99,27460,1:587
Rosario,3,97,27215,1:592
Mynor,100,0,26609,1:605
Arturo,100,0,26546,1:607
Angela,1,99,26324,1:612
Henry,100,0,26253,1:614
Cristina,1,99,26213,1:615
Magdalena,0,100,25973,1:620
Julian,100,0,25920,1:621
Elena,1,99,25890,1:622
Josefa,0,100,25796,1:624
Armando,99,1,25705,1:627
Elvira,1,99,25680,1:627
Esteban,98,2,25615,1:629
Wendy,1,99,25598,1:629
Rene,100,0,25527,1:631
Catalina,0,100,25498,1:632
Agustin,100,0,25214,1:639
Felix,100,0,25127,1:641
Karla,2,98,24918,1:646
Victoria,0,100,24893,1:647
Alvaro,100,0,24892,1:647
Nery,98,2,24874,1:648
Josefina,0,100,24740,1:651
Angelica,1,99,24584,1:655
Arnoldo,100,0,24531,1:657
Alma,1,99,24519,1:657
German,100,0,23990,1:671
Antonia,0,100,23900,1:674
Martha,1,99,23841,1:676
Ernesto,100,0,23632,1:682
Ramiro,100,0,23590,1:683
Israel,99,1,23408,1:688
Josue,100,0,23332,1:690
Luisa,1,99,23132,1:696
Efrain,100,0,22973,1:701
Salvador,100,0,22794,1:707
William,99,1,22431,1:718
Elvia,0,100,22292,1:723
Cruz,61,39,22201,1:726
Mária,0,0,22185,1:726
Petrona,0,100,22157,1:727
Gilberto,100,0,22088,1:729
Flor,1,99,21976,1:733
Alicia,1,99,21694,1:743
Augusto,100,0,21463,1:751
Leonel,99,1,21423,1:752
Odilia,1,99,21397,1:753
Juliana,1,99,20998,1:767
Cristobal,99,1,20993,1:767
Ruth,1,99,20524,1:785
Guadalupe,28,72,20510,1:785
Andrea,0,100,20397,1:790
Veronica,1,99,20393,1:790
Otto,100,0,20291,1:794
Yolanda,1,99,20202,1:797
Floridalma,2,98,19998,1:806
