Name,Male,Female,Incidence,Frequency
Sok,47,53,230801,1:71
Sophea,37,63,214434,1:76
Sam,48,52,163684,1:99
Chan,58,42,146988,1:111
Sokha,39,61,114290,1:142
Sarin,45,55,104802,1:155
Chantha,39,61,98643,1:165
Poe,41,59,91157,1:179
San,56,44,89552,1:182
Kim,41,59,88049,1:185
Samnang,69,31,85565,1:190
Yan,45,55,84511,1:193
Sophal,56,44,84134,1:193
Moau,53,47,79484,1:205
Mom,8,92,76819,1:212
Vanna,54,46,74273,1:219
Thi,60,40,73220,1:222
Chea,68,32,69899,1:233
Srimum,0,100,67988,1:239
Phalla,34,66,67823,1:240
Khan,56,44,64753,1:251
Saroeun,52,48,64707,1:251
Chamroeun,71,29,64074,1:254
Nang,35,65,63941,1:255
Chenda,23,77,63573,1:256
Phan,52,48,63283,1:257
Ni,41,59,61464,1:265
On,32,68,60323,1:270
Yen,39,61,59743,1:272
Touch,41,59,59705,1:273
Sokom,38,62,58131,1:280
Li,54,46,58126,1:280
Ratha,61,39,57825,1:281
Seng,59,41,57798,1:282
Phally,33,67,57102,1:285
Thyan,62,38,54774,1:297
Sina,26,74,54359,1:299
Sophie,26,74,49698,1:327
Syan,54,46,49470,1:329
Veasna,86,14,49412,1:329
Vuthy,90,10,49167,1:331
Han,55,45,48832,1:333
Heng,64,36,48654,1:334
Sat,57,43,48551,1:335
Roa,57,43,47644,1:342
Pha,51,49,47134,1:345
Rin,51,49,47130,1:345
Kunthear,14,86,47125,1:345
Sophat,59,41,46023,1:354
Savoeun,35,65,45677,1:356
Sri,12,88,45073,1:361
Sophon,37,63,44237,1:368
Samat,57,43,44120,1:369
Sambatti,66,34,44029,1:370
Ratana,58,42,43497,1:374
Chanana,31,69,43185,1:377
Saron,41,59,42857,1:380
Nyan,47,53,42740,1:381
That,61,39,42203,1:386
Leang,46,54,41780,1:390
An,49,51,41384,1:393
Kong,57,43,41184,1:395
Sarom,37,63,39771,1:409
Von,59,41,39708,1:410
Chanthy,24,76,39563,1:411
Sophia,37,63,39538,1:412
Sripau,0,100,39460,1:412
Vannak,74,26,39388,1:413
Sovann,69,31,39294,1:414
Ri,45,55,39181,1:415
Sopheak,61,39,38911,1:418
Bunothyan,93,7,38888,1:418
Phal,56,44,38651,1:421
Heang,45,55,38391,1:424
Ron,52,48,38022,1:428
Sareth,44,56,37674,1:432
Phap,45,55,37654,1:432
Sinat,30,70,36853,1:442
Nan,43,57,36776,1:442
Rosmi,52,48,36631,1:444
Hon,46,54,36501,1:446
Thea,54,46,36404,1:447
Hyan,51,49,35872,1:454
Savy,29,71,35479,1:459
Sitha,44,56,35279,1:461
Thorn,61,39,35001,1:465
Mokara,69,31,34802,1:468
Mon,57,43,34233,1:475
Phat,56,44,33967,1:479
Sutha,60,40,33908,1:480
Chanthan,46,54,33816,1:481
Sarat,67,33,33664,1:483
Srituc,0,100,33495,1:486
Srinang,0,100,33452,1:486
Sarun,56,44,33232,1:490
Vi,58,42,33197,1:490
Thida,7,93,33185,1:490
Samon,42,58,33092,1:492
Sim,42,58,32479,1:501
Cheng,50,50,31989,1:509
Socheat,66,34,31973,1:509
Siha,84,16,31705,1:513
Lim,51,49,31608,1:515
Kea,56,44,31334,1:519
Pisey,39,61,31303,1:520
Kosal,83,17,31076,1:524
Lai,30,70,30363,1:536
Ryan,50,50,30149,1:540
Vyan,62,38,30063,1:541
Saran,39,61,29771,1:547
Phyan,52,48,29728,1:547
Dara,84,16,29530,1:551
Piseth,93,7,28990,1:561
Phon,54,46,28923,1:563
Sokunthea,13,87,28876,1:564
Nat,44,56,28770,1:566
Navi,7,93,28680,1:567
Dani,10,90,28666,1:568
Sophan,47,53,28150,1:578
Thon,61,39,28068,1:580
Sarith,79,21,27404,1:594
Leng,50,50,27304,1:596
Eng,36,64,26702,1:609
Myan,56,44,26566,1:613
Thul,61,39,26495,1:614
Nari,5,95,26474,1:615
Chin,74,26,26102,1:623
Canni,22,78,26086,1:624
Sambo,58,42,25831,1:630
Hong,62,38,25457,1:639
Brus,100,0,25344,1:642
Chanthou,16,84,25117,1:648
Leakhena,3,97,25062,1:649
Rot,50,50,25034,1:650
Chanthi,28,72,24881,1:654
Samul,70,30,24361,1:668
Banna,77,23,24253,1:671
Srimoau,0,100,24194,1:673
Mob,65,35,24007,1:678
Channy,22,78,23609,1:689
Sriloakkh,0,100,23227,1:701
Tula,76,24,23217,1:701
Chyan,73,27,23161,1:703
Rithy,89,11,23124,1:704
Theary,12,88,23061,1:706
Seang,43,57,22999,1:708
Sa,48,52,22867,1:712
Chon,72,28,22715,1:716
Da,63,37,22710,1:717
Ran,44,56,22576,1:721
Kyan,54,46,22547,1:722
Vet,70,30,22534,1:722
Lan,46,54,22476,1:724
Yat,41,59,22447,1:725
Long,67,33,22241,1:732
Voan,62,38,22206,1:733
Bopha,7,93,22191,1:733
Khon,53,47,22018,1:739
Sokhon,41,59,21956,1:741
Khim,43,57,21946,1:742
Sinuon,14,86,21835,1:745
Borith,66,34,21682,1:751
Sros,50,50,21630,1:752
Di,62,38,21578,1:754
Song,79,21,21420,1:760
Canathyan,34,66,21299,1:764
La,43,57,21196,1:768
Hay,57,43,21192,1:768
Sun,53,47,21031,1:774
Sriun,0,100,21028,1:774
Cin,62,38,20507,1:794
Bora,81,19,20496,1:794
At,55,45,20300,1:802
Vichet,96,4,20208,1:805
Savon,34,66,20169,1:807
Khun,59,41,20119,1:809
Son,55,45,20105,1:809
Nak,60,40,20062,1:811
Dina,51,49,19982,1:814
Sin,58,42,19874,1:819
Bun,85,15,19866,1:819
Lon,42,58,19761,1:824
Sokly,33,67,19565,1:832
Sothy,56,44,19521,1:834
Kanna,8,92,19425,1:838
Sophorn,42,58,19411,1:838
Youn,49,51,19385,1:839
Sokny,26,74,19289,1:844
Samin,34,66,19257,1:845
Savet,32,68,19192,1:848
Narin,37,63,19145,1:850
Vibol,86,14,19032,1:855
Nai,26,74,19016,1:856
Sen,75,25,18964,1:858
Phi,50,50,18720,1:869
Theara,57,43,18600,1:875
Savuth,80,20,18551,1:877
Im,33,67,18532,1:878
Kan,49,51,18443,1:882
Savin,32,68,18338,1:887
Thin,60,40,18306,1:889
Ti,64,36,18259,1:891
Lina,21,79,18064,1:901
Tim,51,49,18030,1:903
Savong,33,67,17985,1:905
Keo,46,54,17926,1:908
Run,65,35,17916,1:908
Dyan,74,26,17820,1:913
Lab,30,70,17791,1:915
Lay,55,45,17509,1:929
Tith,92,8,17485,1:931
Lida,19,81,17480,1:931
Him,57,43,17289,1:941
Ang,48,52,17285,1:941
Srinic,0,100,17244,1:944
Srey,13,87,17145,1:949
Kheng,47,53,17108,1:951
Yoon,37,63,17106,1:951
Ravi,66,34,16837,1:967
Set,72,28,16750,1:972
Thavy,10,90,16715,1:974
Yong,63,37,16627,1:979
Non,44,56,16558,1:983
Yom,25,75,16555,1:983
Sukhana,27,73,16494,1:987
Kusal,79,21,16418,1:991
Moac,28,72,16407,1:992
Nho,35,65,16340,1:996
Chai,71,29,16290,1:999
Man,72,28,16270,1:1000
Samoeun,38,62,16198,1:1005
Lin,46,54,15950,1:1020
Moeng,83,17,15907,1:1023
Hak,70,30,15903,1:1023
Kham,50,50,15718,1:1035
Somaly,5,95,15706,1:1036
Virak,99,1,15698,1:1037
Moan,77,23,15547,1:1047
Ken,50,50,15539,1:1047
Seila,61,39,15515,1:1049
Chun,63,37,15428,1:1055
Yoa,35,65,15316,1:1063
