Name,Male,Female,Incidence,Frequency
Elena,1,99,307744,1:58
Sergey,100,0,289903,1:61
Natalya,1,99,249655,1:71
Tatyana,0,100,243238,1:73
Vladimir,100,0,236155,1:75
Olga,1,99,199038,1:89
Aleksandr,100,0,195789,1:91
Irina,1,99,181223,1:98
Alexander,99,1,178259,1:100
Svetlana,1,99,168178,1:106
Ruslan,100,0,164660,1:108
Andrey,100,0,163684,1:108
Nadezhda,0,100,129288,1:137
Aygerim,0,100,125992,1:141
Ekaterina,1,99,121229,1:146
Galina,0,100,120639,1:147
Azamat,100,0,119329,1:149
Marina,1,99,115337,1:154
Viktor,100,0,108248,1:164
Talgat,99,1,105452,1:168
Dinara,1,99,104051,1:171
Nikolay,99,1,103690,1:171
Anastasiya,1,99,103075,1:172
Serik,100,0,102285,1:174
Madina,1,99,101679,1:175
Dmitriy,100,0,98175,1:181
Nursultan,100,0,96268,1:184
Alina,1,99,95073,1:187
Anna,1,99,93050,1:191
Lyudmila,0,100,92704,1:191
Denis,100,0,89982,1:197
Akmaral,1,99,87128,1:204
Valentina,1,99,86868,1:204
Ivan,100,0,85528,1:207
Asel,0,100,84014,1:211
Erzhan,99,1,82852,1:214
Arman,99,1,82759,1:214
Timur,100,0,75874,1:234
Nurlan,99,1,75683,1:234
Aydana,1,99,74924,1:237
Alexey,100,0,73533,1:241
Igor,100,0,73167,1:243
Marat,98,2,71545,1:248
Diana,1,99,70757,1:251
Erlan,99,1,69342,1:256
Kanat,99,1,69319,1:256
Evgeniy,100,0,68404,1:259
Mikhail,99,1,68023,1:261
Kuanysh,96,4,67989,1:261
Lyubov,0,100,67129,1:264
Bakhytzhan,93,7,66109,1:268
Pavel,100,0,63999,1:277
Oleg,100,0,63964,1:277
Nurzhan,98,2,63264,1:281
Roman,99,1,63027,1:282
Gulmira,0,100,62182,1:285
Maksim,99,1,61251,1:290
Orken,96,4,60915,1:291
Dauren,100,0,60757,1:292
Evgeny,100,0,60500,1:293
Anastasia,1,99,58700,1:302
Dmitry,100,0,57262,1:310
Askar,98,2,57116,1:311
Daulet,99,1,56939,1:312
Saltanat,1,99,56819,1:312
Mariya,1,99,56341,1:315
Aleksey,100,0,55708,1:319
Murat,98,2,54828,1:324
Darkhan,100,0,54818,1:324
Bauyrzhan,100,0,54459,1:326
Kristina,1,99,54449,1:326
Inkar,3,97,54415,1:326
Ertugan,100,0,54375,1:326
Aida,1,99,52817,1:336
Rustam,100,0,49822,1:356
Zhandos,100,0,49806,1:356
Konstantin,100,0,49755,1:357
Aygul,0,100,49584,1:358
Olzhas,100,0,49518,1:358
Alibek,99,1,48942,1:363
Yulia,0,100,48321,1:367
Dana,1,99,48000,1:370
