Name,Male,Female,Incidence,Frequency
Maria,0,100,334946,1:32
Juan,100,0,220931,1:48
Jose,100,0,175091,1:61
Luis,100,0,132986,1:80
Carlos,100,0,127941,1:83
Mario,100,0,82643,1:128
Jorge,100,0,82636,1:128
Juana,0,100,79950,1:133
Victor,100,0,77495,1:137
Ana,0,100,75621,1:140
Martha,0,100,74075,1:143
Carmen,0,100,63888,1:166
Miguel,100,0,62533,1:170
Rosa,0,100,62433,1:170
Vda,10,90,61503,1:172
Pedro,100,0,57470,1:184
Antonio,100,0,56308,1:188
Fernando,100,0,55473,1:191
Roberto,100,0,55107,1:192
Felix,100,0,53837,1:197
Julio,100,0,52789,1:201
Julia,0,100,52115,1:203
Rene,100,0,51883,1:204
Javier,100,0,51769,1:205
Angel,100,0,51701,1:205
Alberto,100,0,50844,1:209
David,100,0,49558,1:214
Freddy,100,0,48593,1:218
Elizabeth,0,100,47409,1:224
Oscar,100,0,46253,1:229
Hugo,100,0,45741,1:232
Daniel,100,0,44907,1:236
Cristina,0,100,44646,1:237
Francisco,100,0,44479,1:238
Lidia,0,100,43867,1:242
Patricia,0,100,42461,1:250
Sonia,0,100,42379,1:250
Edwin,100,0,42369,1:250
Eduardo,100,0,41977,1:253
Isabel,0,100,41744,1:254
Raul,100,0,41634,1:255
Silvia,0,100,41427,1:256
Jaime,100,0,40927,1:259
Victoria,0,100,40036,1:265
Elena,0,100,39955,1:265
Edgar,100,0,39556,1:268
Pablo,100,0,38437,1:276
Alejandro,100,0,38195,1:278
Jesus,86,14,37769,1:281
Roxana,0,100,37133,1:285
Claudia,0,100,37129,1:286
Virginia,0,100,36861,1:288
Teresa,0,100,36786,1:288
Margarita,0,100,35640,1:297
Rosario,0,100,35348,1:300
Marco,100,0,34953,1:303
Ricardo,100,0,34884,1:304
Ruben,100,0,34480,1:307
Veronica,0,100,33849,1:313
Alfredo,100,0,33789,1:314
Sandra,0,100,33776,1:314
Ramiro,100,0,33740,1:314
Lucia,0,100,32898,1:322
German,100,0,32593,1:325
