Name,Male,Female,Incidence,Frequency
Maria,0,100,14524659,1:15
Jose,100,0,8002933,1:27
Joao,100,0,3810830,1:56
Antonio,100,0,3642848,1:59
Ana,0,100,3193410,1:67
Francisco,100,0,2609321,1:82
Luiz,100,0,1798775,1:119
Carlos,100,0,1692417,1:127
Paulo,100,0,1632663,1:131
Pedro,100,0,1534904,1:140
Manoel,100,0,1342227,1:160
Marcos,100,0,1111742,1:193
Lucas,100,0,1056387,1:203
Francisca,0,100,989572,1:216
Raimundo,100,0,933628,1:229
Gabriel,100,0,842001,1:254
Rafael,100,0,795944,1:269
Antonia,0,100,781621,1:274
Marcelo,100,0,757651,1:283
Sebastiao,100,0,743616,1:288
Daniel,100,0,741817,1:289
Luis,100,0,704760,1:304
Eduardo,100,0,660022,1:325
Bruno,100,0,638485,1:336
Rodrigo,100,0,625940,1:342
Fernando,100,0,610235,1:351
Jorge,100,0,602308,1:356
Adriana,0,100,593616,1:361
Andre,100,0,592905,1:361
Fabio,100,0,572060,1:374
Matheus,100,0,571814,1:375
Marcia,97,3,568235,1:377
Leonardo,100,0,564086,1:380
Guilherme,100,0,557160,1:385
Juliana,0,100,544314,1:394
Fernanda,0,100,525861,1:407
Leandro,100,0,525188,1:408
Felipe,100,0,524992,1:408
Ricardo,100,0,512118,1:418
Marcio,100,0,511222,1:419
Patricia,98,2,511095,1:419
Edson,100,0,504943,1:424
Sandra,97,3,502272,1:427
Roberto,100,0,500631,1:428
Gustavo,100,0,498881,1:429
Anderson,100,0,498571,1:430
Alexandre,100,0,494762,1:433
Geraldo,100,0,490756,1:437
Thiago,100,0,490708,1:437
Aline,0,100,475729,1:450
Josefa,0,100,449766,1:476
Jessica,0,100,446805,1:479
Luciana,98,2,442644,1:484
Julia,0,100,440801,1:486
Sergio,100,0,440168,1:487
Miguel,100,0,438765,1:488
Amanda,0,100,436810,1:490
Joaquim,100,0,427451,1:501
Bruna,0,100,425674,1:503
Raimunda,0,100,415072,1:516
Vanessa,0,100,409727,1:523
Rita,98,2,405836,1:528
Vera,98,2,396471,1:540
Diego,100,0,394563,1:543
Camila,0,100,388246,1:552
Claudio,100,0,379496,1:565
Julio,100,0,378709,1:566
Davi,100,0,377592,1:567
Leticia,0,100,377145,1:568
Sonia,97,3,374677,1:572
Luciano,100,0,371994,1:576
Rosa,0,100,371490,1:577
Terezinha,100,0,368899,1:581
Mariana,0,100,366411,1:585
Benedito,100,0,362223,1:591
Beatriz,0,100,361792,1:592
Simone,98,2,360458,1:594
Adriano,100,0,359712,1:596
Mario,100,0,359660,1:596
Vinicius,100,0,359046,1:597
Renato,100,0,356747,1:601
Eliane,0,100,354875,1:604
Renata,98,2,348516,1:615
Claudia,0,100,344727,1:621
Larissa,0,100,340465,1:629
Tiago,100,0,334948,1:640
Arthur,100,0,332583,1:644
Cristiane,0,100,329597,1:650
Alex,100,0,328009,1:653
Samuel,100,0,326601,1:656
Rosangela,99,1,325957,1:657
Joana,0,100,325884,1:657
Gabriela,0,100,321605,1:666
Marlene,99,1,319495,1:671
Luana,0,100,318566,1:673
Cicero,100,0,318323,1:673
Victor,100,0,315993,1:678
Luzia,100,0,312448,1:686
Aparecida,0,100,306857,1:698
Vitor,100,0,304562,1:703
Angela,0,100,301878,1:710
Fabiana,0,100,298612,1:717
Rogerio,100,0,297412,1:720
Ronaldo,100,0,296371,1:723
Alice,0,100,288749,1:742
Flavio,100,0,285385,1:751
Daniela,0,100,284739,1:752
Nelson,100,0,284400,1:753
Douglas,100,0,284213,1:754
Luiza,0,100,282881,1:757
Mateus,100,0,280573,1:764
Laura,0,100,280251,1:764
Helena,0,100,278659,1:769
Raquel,0,100,278637,1:769
Carla,0,100,276133,1:776
Lucia,98,2,274747,1:780
Regina,96,4,274671,1:780
Severino,100,0,272512,1:786
Andreia,0,100,271146,1:790
Alessandra,0,100,269807,1:794
Debora,0,100,268533,1:798
Reginaldo,100,0,266478,1:804
Gilberto,100,0,264950,1:809
Vitoria,0,100,262183,1:817
Robson,100,0,261624,1:819
Henrique,100,0,261208,1:820
Wilson,100,0,257598,1:832
Elaine,0,100,257361,1:832
Jaqueline,0,100,256352,1:836
Mauricio,100,0,247388,1:866
Marco,100,0,245587,1:872
Thais,0,100,244525,1:876
Priscila,0,100,239900,1:893
Elias,100,0,233715,1:917
Anna,0,100,232028,1:923
Natalia,0,100,231771,1:924
Tereza,100,0,229678,1:933
David,100,0,229584,1:933
Flavia,0,100,228206,1:939
Domingos,100,0,227068,1:943
Rafaela,0,100,226679,1:945
Andrea,0,100,224695,1:953
Marina,99,1,223663,1:958
Viviane,0,100,222618,1:962
Silvana,98,2,222286,1:964
Edna,0,100,221093,1:969
Igor,100,0,220699,1:971
Wellington,100,0,219713,1:975
Danilo,100,0,216765,1:988
Paula,0,100,213474,1:1004
Cristiano,100,0,210110,1:1020
Vicente,100,0,210079,1:1020
Solange,98,2,209735,1:1021
Jefferson,100,0,209409,1:1023
Bianca,0,100,207548,1:1032
Silvia,96,4,207024,1:1035
Marta,98,2,204883,1:1046
Sueli,98,2,203830,1:1051
Monica,96,4,203101,1:1055
Isabel,0,100,201934,1:1061
Osvaldo,100,0,200233,1:1070
Valdir,100,0,200007,1:1071
Tatiane,0,100,197494,1:1085
Emerson,100,0,194108,1:1104
Mauro,100,0,192302,1:1114
Jean,100,0,192085,1:1115
Wagner,100,0,191505,1:1119
Sebastiana,0,100,190888,1:1122
Wesley,100,0,190427,1:1125
Adilson,100,0,190214,1:1126
Eliana,0,100,189664,1:1130
Celia,0,100,188474,1:1137
Janaina,0,100,187132,1:1145
Eva,0,100,186389,1:1149
Gilmar,100,0,186300,1:1150
Rosana,97,3,185279,1:1156
Caio,100,0,184474,1:1161
Milton,100,0,184126,1:1164
Marli,100,0,183576,1:1167
Jair,100,0,181592,1:1180
Carolina,0,100,181162,1:1183
Katia,0,100,180903,1:1184
Marilene,100,0,180452,1:1187
Helio,100,0,180212,1:1189
Gilson,100,0,177895,1:1204
Benedita,0,100,177322,1:1208
Daiane,0,100,176192,1:1216
Andressa,0,100,175979,1:1217
Cristina,0,100,175123,1:1223
Jonas,100,0,174602,1:1227
Caroline,0,100,173908,1:1232
William,100,0,173516,1:1235
Daniele,0,100,173057,1:1238
Valeria,96,4,171236,1:1251
Joel,100,0,170862,1:1254
Elza,0,100,170638,1:1256
Elisangela,0,100,170585,1:1256
Tania,97,3,169961,1:1261
Alessandro,100,0,169506,1:1264
Barbara,0,100,167861,1:1276
Fabiano,100,0,166878,1:1284
Celso,100,0,165368,1:1296
Adao,100,0,164776,1:1300
Denise,0,100,163822,1:1308
Erica,0,100,163245,1:1312
Alan,100,0,163172,1:1313
Irene,0,100,162375,1:1319
Silvio,100,0,162260,1:1320
Sára,0,100,162135,1:1321
Renan,100,0,161333,1:1328
Izabel,0,100,161055,1:1330
Luan,0,100,157426,1:1361
Edilson,100,0,156641,1:1368
Roseli,99,1,156108,1:1372
Jeferson,100,0,155589,1:1377
Luciene,0,100,153902,1:1392
Reinaldo,100,0,153900,1:1392
