Name,Male,Female,Incidence,Frequency
John,100,0,212438,1:22
Michael,100,0,159253,1:29
Mary,0,100,159211,1:29
Patrick,100,0,152794,1:30
Thomas,100,0,99558,1:47
James,100,0,99554,1:47
Margaret,0,100,66945,1:69
David,100,0,56534,1:82
Joseph,100,0,51100,1:91
Paul,100,0,49589,1:94
Sean,100,0,48518,1:96
William,100,0,45532,1:102
Ann,0,100,43155,1:108
Martin,100,0,42154,1:110
Kathleen,0,100,40955,1:113
Peter,100,0,40902,1:114
Anne,0,100,40792,1:114
Catherine,0,100,38647,1:120
Gerard,100,0,35650,1:130
Brian,100,0,34995,1:133
Elizabeth,0,100,32106,1:145
Patricia,0,100,30965,1:150
Kevin,100,0,30897,1:150
Brendan,100,0,30218,1:154
Noel,100,0,28633,1:162
Liam,100,0,28566,1:163
Eileen,0,100,27823,1:167
Marie,0,100,27471,1:169
Anthony,100,0,26513,1:175
Richard,100,0,25460,1:182
Denis,100,0,24805,1:187
Robert,100,0,24705,1:188
Frank,100,0,23633,1:196
Seamus,100,0,23446,1:198
Bridget,0,100,23015,1:202
Daniel,100,0,22994,1:202
Stephen,100,0,21989,1:211
Edward,100,0,21765,1:213
Helen,0,100,21608,1:215
Mark,100,0,21236,1:219
Teresa,0,100,19525,1:238
Donal,100,0,18850,1:246
Alan,100,0,18781,1:247
Tony,100,0,18660,1:249
Sarah,0,100,18434,1:252
Joan,1,99,17858,1:260
Timothy,100,0,17641,1:263
Geraldine,0,100,17614,1:264
Maureen,0,100,17604,1:264
Caroline,0,100,17086,1:272
Andrew,100,0,16910,1:275
Deirdre,0,100,16806,1:276
Declan,100,0,16145,1:288
Susan,0,100,15939,1:291
Michelle,0,100,15280,1:304
Bernadette,0,100,15187,1:306
Philip,100,0,14746,1:315
Fiona,0,100,14708,1:316
Carmel,0,100,14617,1:318
Angela,0,100,14381,1:323
Maria,0,100,14015,1:331
Anna,0,100,13791,1:337
Karen,0,100,13726,1:338
Conor,100,0,13555,1:343
Dermot,100,0,13452,1:345
Nora,0,100,13151,1:353
Sheila,0,100,13073,1:355
Claire,0,100,12970,1:358
Sinead,0,100,12930,1:359
Pauline,0,100,12816,1:362
Vincent,99,1,12789,1:363
Christopher,100,0,12550,1:370
Niall,100,0,12478,1:372
Kieran,100,0,12393,1:375
Sharon,0,100,12364,1:376
Gerry,100,0,12339,1:376
Siobhan,0,100,12317,1:377
Bernard,100,0,12169,1:382
Aidan,100,0,12162,1:382
Lisa,0,100,12161,1:382
Francis,96,4,12019,1:386
Breda,0,100,11971,1:388
Linda,0,100,11872,1:391
Eamonn,100,0,11838,1:392
Raymond,100,0,11824,1:393
Sandra,0,100,11820,1:393
Barry,99,1,11611,1:400
Josephine,0,100,11557,1:402
Maura,0,100,11535,1:403
Louise,0,100,11239,1:413
George,100,0,11139,1:417
Colm,100,0,10946,1:424
Elaine,0,100,10853,1:428
Martina,0,100,10639,1:436
Frances,11,89,10571,1:439
Derek,100,0,10403,1:446
Rose,0,100,10101,1:460
Eugene,100,0,10041,1:462
Niamh,0,100,10003,1:464
Matthew,100,0,9935,1:467
Lorraine,0,100,9621,1:483
Kenneth,100,0,9459,1:491
Laura,0,100,9443,1:492
Jennifer,0,100,9391,1:494
Eamon,100,0,9347,1:497
Rita,0,100,9332,1:498
Desmond,100,0,9285,1:500
Hugh,100,0,9259,1:502
Padraig,100,0,8991,1:516
Barbara,0,100,8961,1:518
Christina,0,100,8943,1:519
Valerie,0,100,8939,1:519
Charles,100,0,8863,1:524
Oliver,99,1,8845,1:525
Shane,100,0,8729,1:532
Noreen,0,100,8680,1:535
Carol,1,99,8565,1:542
Paula,0,100,8564,1:542
Yvonne,0,100,8520,1:545
Ellen,0,100,8507,1:546
Ciaran,100,0,8363,1:555
Christine,0,100,8162,1:569
Bridie,0,100,8043,1:577
Marian,0,100,8027,1:578
Emma,0,100,7894,1:588
Enda,0,100,7853,1:591
Ian,100,0,7838,1:592
Theresa,0,100,7835,1:593
Paddy,100,0,7785,1:596
Philomena,0,100,7418,1:626
Jane,0,100,7312,1:635
Micheal,100,0,7297,1:636
Annie,0,100,7258,1:640
Nuala,0,100,7245,1:641
Denise,1,99,7227,1:643
Nicola,0,100,7177,1:647
Una,0,100,7138,1:651
Alice,0,100,7137,1:651
Ciara,0,100,7068,1:657
Damien,100,0,6723,1:691
Chris,99,1,6664,1:697
Gary,100,0,6603,1:703
Julie,0,100,6568,1:707
Orla,13,87,6550,1:709
Keith,100,0,6380,1:728
Christy,64,36,6329,1:734
Gillian,0,100,6268,1:741
Rachel,0,100,6224,1:746
Laurence,100,0,6213,1:747
Ronan,100,0,6208,1:748
Amanda,0,100,6185,1:751
Mairead,0,100,6134,1:757
Adrian,100,0,6132,1:757
Clare,0,100,6061,1:766
Brigid,0,100,6039,1:769
Joanne,0,100,5988,1:775
Aoife,0,100,5977,1:777
Maurice,100,0,5969,1:778
Suzanne,0,100,5894,1:788
Ruth,0,100,5882,1:789
Monica,0,100,5843,1:795
Eoin,100,0,5782,1:803
Grainne,0,100,5729,1:811
Neil,100,0,5658,1:821
Colin,100,0,5590,1:831
Nicholas,100,0,5576,1:833
Evelyn,2,98,5575,1:833
Jeremiah,100,0,5481,1:847
Annette,0,100,5442,1:853
