Name,Male,Female,Incidence,Frequency
Maria,0,100,285109,1:12
Juan,0,100,79510,1:43
Jose,100,0,79466,1:43
Carlos,100,0,72738,1:47
Luis,100,0,70173,1:49
Ana,0,100,62272,1:55
Jorge,100,0,52447,1:65
Julio,100,0,37314,1:92
Pablo,100,0,35442,1:97
Ruben,100,0,29054,1:118
Walter,100,0,28199,1:122
Miguel,100,0,27393,1:125
Hector,100,0,25016,1:137
Fernando,100,0,24995,1:137
Daniel,100,0,24669,1:139
Eduardo,100,0,24459,1:140
Diego,100,0,24088,1:142
Blanca,0,100,23991,1:143
Mario,100,0,23920,1:143
Gustavo,100,0,23313,1:147
Silvia,0,100,23278,1:147
Hugo,100,0,22045,1:155
Gladys,0,100,22009,1:156
Sergio,100,0,21371,1:160
Roberto,100,0,21326,1:161
Oscar,100,0,21228,1:161
Marcelo,100,0,19760,1:173
Laura,0,100,19199,1:179
Andrea,0,100,18693,1:183
Sandra,0,100,18062,1:190
Alejandro,100,0,18012,1:190
Susana,0,100,17718,1:193
Graciela,0,100,17534,1:195
Adriana,0,100,17278,1:198
Nelson,100,0,17013,1:201
Ricardo,100,0,16992,1:202
Claudia,0,100,16792,1:204
Olga,0,100,16284,1:210
Alvaro,100,0,16001,1:214
Alicia,0,100,16000,1:214
Monica,0,100,15833,1:216
Rosa,0,100,15441,1:222
Washington,100,0,15362,1:223
Martin,100,0,15249,1:225
Pedro,100,0,15036,1:228
Nestor,100,0,14504,1:236
Raul,100,0,14496,1:236
Victor,100,0,14468,1:237
Marta,0,100,14437,1:237
Leonardo,100,0,14001,1:245
Andres,100,0,13539,1:253
Gonzalo,100,0,13406,1:256
Alba,0,100,12879,1:266
Enrique,100,0,12771,1:268
Mirta,0,100,12585,1:272
Patricia,0,100,12351,1:278
Carmen,0,100,12348,1:278
Natalia,0,100,12271,1:279
Veronica,0,100,12199,1:281
Gabriela,0,100,12142,1:282
Alberto,100,0,12011,1:285
Mary,0,100,11705,1:293
Ramon,100,0,11532,1:297
Sonia,0,100,11467,1:299
Gabriel,100,0,11457,1:299
Nicolas,100,0,11439,1:300
Angel,100,0,11389,1:301
Elsa,0,100,11389,1:301
Nelly,0,100,11370,1:301
Federico,100,0,11311,1:303
Richard,100,0,11178,1:307
Martha,0,100,11040,1:310
Javier,100,0,10680,1:321
Santiago,100,0,10549,1:325
Cesar,100,0,10287,1:333
Sebastian,100,0,10217,1:335
Gerardo,100,0,10179,1:337
Francisco,100,0,10090,1:340
Beatriz,0,100,10047,1:341
Antonio,100,0,9973,1:344
Teresa,0,100,9649,1:355
Mariana,0,100,9476,1:362
Alfredo,100,0,9452,1:363
Norma,0,100,9317,1:368
Guillermo,100,0,9172,1:374
Marcos,100,0,9034,1:379
Wilson,100,0,9017,1:380
Gloria,0,100,8780,1:390
Nancy,0,100,8444,1:406
Lucia,0,100,8268,1:415
Matias,100,0,8250,1:415
Silvana,0,100,8249,1:416
Juana,0,100,8178,1:419
Irma,0,100,8131,1:422
Miriam,0,100,8017,1:428
