Name,Male,Female,Incidence,Frequency
Christ,99,1,106629,1:47
Gloire,66,34,95339,1:53
Grace,46,54,94474,1:53
Jean,100,0,86547,1:58
Grèce,47,53,83484,1:60
Ruth,0,100,79788,1:63
Prince,100,0,60720,1:82
Merveille,12,88,52859,1:95
Mercia,10,90,38620,1:130
Dieu,82,18,38310,1:131
Divine,0,100,34800,1:144
Marie,3,97,32294,1:155
Reine,0,100,32124,1:156
Emmanuel,97,3,31125,1:161
Junior,100,0,29471,1:170
Claude,51,49,28837,1:174
Naomie,0,100,25014,1:200
Chancelvie,0,100,24722,1:203
Sarah,0,100,24637,1:203
Guy,98,2,23890,1:210
Amour,77,23,22597,1:222
Franck,98,2,22570,1:222
Exaucè,88,12,22411,1:224
Dorcas,0,100,22296,1:225
Dieuveille,47,53,21847,1:229
Benie,3,97,20828,1:241
Juste,91,9,19263,1:260
Rebecca,0,100,18907,1:265
Princilia,0,100,18848,1:266
Beni,94,6,18388,1:272
Michel,99,1,18126,1:276
Paul,90,10,17953,1:279
Sagesse,48,52,17756,1:282
Grâce,42,58,17651,1:284
Dieuveil,100,0,17063,1:294
Sara,0,100,17030,1:294
Emmanuelle,0,100,16518,1:303
Christian,100,0,16309,1:307
Destin,100,0,16162,1:310
Belvie,5,95,16089,1:311
Mavie,13,87,15930,1:314
Espoir,87,13,15792,1:317
Gloria,9,91,15697,1:319
Princia,0,100,15501,1:323
Divin,100,0,14909,1:336
Gracia,16,84,14790,1:339
Alain,100,0,14753,1:340
Brice,97,3,14654,1:342
Ange,82,18,14458,1:346
Exaucèe,1,99,14202,1:353
Bienvenu,100,0,14138,1:354
Sephora,0,100,13971,1:359
Esther,0,100,13889,1:361
David,100,0,13680,1:366
Chance,47,53,13317,1:376
Belvina,0,100,13262,1:378
Dominique,36,64,13079,1:383
Julia,0,100,12552,1:399
Christelle,0,100,12179,1:411
Yann,99,1,11428,1:438
Merveil,100,0,11322,1:442
Brel,100,0,11157,1:449
Jules,100,0,11128,1:450
Joseph,100,0,11118,1:451
Daniel,98,2,11026,1:454
Michelle,0,100,10984,1:456
Jude,97,3,10858,1:461
